file_name,dataset_id,dataset_name,doc_type,coverage_status,note,size_bytes,sha256,original_path
ADARC-England-2021-User-Guide-April-2026.pdf,d001,AD|ARC 2021 England and Wales,user_guide,fills_gap,England 2021 AD|ARC user guide,370633,45c486e0108129bb7866ccfd560c2f1c147cc86d5a8b9207925a3cae54425915,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-England-2021-User-Guide-April-2026.pdf
ADARC-Wales-2021-User-Guide-April-2026.pdf,d001,AD|ARC 2021 England and Wales,user_guide,fills_gap,Wales 2021 AD|ARC user guide,497230,94bea87003667ae02fcc39c9328162814266b0955ccaffd90569f3d47978ad33,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-Wales-2021-User-Guide-April-2026.pdf
ADARC-England-2021-data-dictionary-May-2026.xlsx,d001,AD|ARC 2021 England and Wales,data_dictionary,fills_gap,England 2021 AD|ARC data dictionary,108707,bf0dc871bde65347423c2e680daa8415ffcea6df45d7c05fb53eb2f375aac629,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-England-2021-data-dictionary-May-2026.xlsx
ADARC-Wales-2021-data-dictionary-May-2026.xlsx,d001,AD|ARC 2021 England and Wales,data_dictionary,fills_gap,Wales 2021 AD|ARC data dictionary,199086,fbb60a105e845e88e720fe359c599c5d6af20b5d8aeef635427e53f3f7093ab3,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-Wales-2021-data-dictionary-May-2026.xlsx
Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0.xlsx,d001,AD|ARC 2021 England and Wales,ons_srs_data_dictionary,useful_official_duplicate_source,Official ONS SRS structural metadata for England 2021,25456,c8e8ce5704d0dfd1c6dddd2631a7be665bd0c4b7521a35aabd073375fa627e94,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0.xlsx
Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0 (1).xlsx,d001,AD|ARC 2021 England and Wales,duplicate,duplicate,Byte-identical duplicate of ONS SRS England 2021 dictionary,25456,c8e8ce5704d0dfd1c6dddd2631a7be665bd0c4b7521a35aabd073375fa627e94,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\Data-Dictionary-Administrative Data _ Agriculture Research Collection 2021 - England@1.0.0 (1).xlsx
ADARC-England-2011-User-Guide-April-2026.pdf,d003,AD|ARC 2011 England and Wales,user_guide,fills_gap,England 2011 AD|ARC user guide,377265,b56bd582f67c72088f6357aa6404b9a19052d3bd70a80dd929d765f9acc73dbf,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-England-2011-User-Guide-April-2026.pdf
ADARC-Wales-2011-User-Guide-April-2026.pdf,d003,AD|ARC 2011 England and Wales,user_guide,fills_gap,Wales 2011 AD|ARC user guide,490395,75a5b99151532072b76940e322c3d039c2e564fa9382e5bc956f50d81f713b2a,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-Wales-2011-User-Guide-April-2026.pdf
ADARC-England-2011-data-dictionary-April-2026.xlsx,d003,AD|ARC 2011 England and Wales,data_dictionary,fills_gap,England 2011 AD|ARC data dictionary,236735,280aca7fb81831614206db1f40c48c196cbd3c5e31e89cd81240890783170a10,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-England-2011-data-dictionary-April-2026.xlsx
ADARC-Wales-2011-data-dictionary-May-2026.xlsx,d003,AD|ARC 2011 England and Wales,data_dictionary,fills_gap,Wales 2011 AD|ARC data dictionary,102164,db3bf5a4dd339c6c319564842f07385710799d8bfa4c0dba685b7381f458177e,d:\GlobalHealthPolicy Dropbox\Fan Bowei\PhD\[KCL]Wei Yang\additional_dataset\ADARC-Wales-2011-data-dictionary-May-2026.xlsx
