"Table Name","Table Description","Column Name","Column Description","Data Type",Sensitive
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",ASYLUM_SEEKER_CODE,"This field records whether or not a child has been an asylum-seeking child at any time during the data collection period, either an an unaccompanied minor (UASC) or as a member of a family that was recognised as having asylum-seeking status. An asylum seeker is someone who has lodged an application for protection on the basis of the Refugee Convention or Article 3 of the European Convention on Human Rights and who is awaiting a decision on that application at any point during the period 1 January to 31 March within the year of the return. 0 = the child had not been an Asylum-Seeking Child; 1 = the child had been an unaccompanied asylum-seeking child; 2 = the child has been a member of an asylum-seeking family",INTEGER,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",AVAIL_FROM_DT,"Date that the data is available in SAIL.",DATE,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",CATEGORY_OF_NEED_CODE,"A code indicating the main reason why a child started to receive care and support services. Only one reason can be recorded - in the event of a child having multiple needs the primary category of need is recorded.",VARCHAR,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",CHILD_CODE_PE,"This is a local authority child identifier which is unique to each child. Unique ID for each child which is retained from year to year. Local authority children identifiers do not continue with the child if the responsibility for their care is transferred to another local authority. It is the same ID used for other purposes e.g. LACW census; links to SYSTEM_ID_E. A new number is allocated for an adopted child.",BIGINT,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",CHILD_HEALTH_SURVEILLANCE_CHECKS,"Child health surveillance checks are for children aged 5 or younger. This is a true/false field indicating whether the child&amp;#039;s health promotion checks were up-to-date on 31 March 20XX. 1 = True (up-to-date), 0 = False (not up-to-date), 80 = the information is not applicable to the child&amp;#039;s age group on 31st March 20XX; 88 = the information was not available on 31 March 20XX.",INTEGER,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",CHILD_PROTECTION_REGISTER,"This is a true/false field indicating whether the child was on the Child Protection Register on 31 March 20XX. 1 = True; 0 = False.",INTEGER,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",CPR_DATE,"The date the child was added to the Child Protection Register. This field is left blank for those not on the Child Protection Register at 31 March 20XX. If a child has been registered more than once, the most recent data they were added should be used.",DATE,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",CPR_EMOTIONAL_ABUSE,"This is a true/false field indicating that the primary presenting concern at the time of the child being entered onto the Child Protection Register was that of emotional/psychological abuse. Note that emotional/psychological abuse is considered always to occur if one of the other types of abuse occurs. Therefore it is only recorded here if it is occurs in isolation without other types of abuse. If 1 is entered for emotional/psychological (only)&amp;acirc;&amp;euro;, no other entries should be made in this section. 1 = True; 0 = False; NULL = child not on Child Protection Register.",DOUBLE,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",CPR_FINANCIAL_ABUSE,"A true/false field indicating that the primary presenting concern at the time of the child being entered onto the Child Protection Register was that of financial abuse. 1 = True; 0 = False; NULL = child not on Child Protection Register.",DOUBLE,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",CPR_NEGLECT,"A true/false field indicating that the primary presenting concern at the time of the child being entered onto the Child Protection Register was that of neglect. 1 = True; 0 = False; NULL = child not on Child Protection Register.",DOUBLE,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",CPR_PHYSICAL_ABUSE,"A true/false field indicating that the primary presenting concern at the time of the child being entered onto the Child Protection Register was that of physical abuse. 1 = True; 0 = False; NULL = child not on Child Protection Register.",DOUBLE,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",CPR_SEXUAL_ABUSE,"A true/false field indicating that the primary presenting concern at the time of the child being entered onto the Child Protection Register was that of sexual abuse. 1 = True; 0 = False; NULL = child not on Child Protection Register.",DOUBLE,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",DATE_OF_DATA_COLLECTION,"Data collection date; this is the date when the data was loaded by the Local Authority to Statistics for Wales, this is the 31 May. The data collected covers the financial year (1 April 20XX to 31 March 20XX). For longitudinal anaylsis, YEAR_CODE (census year) should be used.",DATE,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",DISABILITY_CONTINENCE,"A true/false field indicating whether the child&amp;#039;s disability affects their continence at 31 March 20XX. 1 = True; 0 = False.",INTEGER,false
MAIN_CRCS,"Census data relating to children with a care and support plan. For linkage between views, use CHILD_CODE_E and LOCAL_AUTHORITY_CODE, as the child identifier is only unique within a local authority.",DISABILITY_LIFT_CARRY_OBJECTS,"A true/false field indicating whether the child&amp;#039;s disability affects their ability to lift, carry or otherwise move everyday objects at 31 March 20XX. 1 = True; 0 = False.",INTEGER,false
