Section,Value,Field
Dataset,Name,"Cafcass England (CAFE)"
Dataset,"Gateway URL",https://web.prod.hdruk.cloud//dataset/311?version=1.0.0
Dataset,"Dataset Type","Health and disease"
Dataset,"Dataset Sub-type",
Dataset,"Collection Sources",Other
"Summary Demographics","Population Size",1104569
"Summary Demographics",Years,2007-04-03T23:00:00.000Z
"Summary Demographics","Associate BioSamples","None/not available"
"Summary Demographics","Geographic coverage","United Kingdom,England"
"Summary Demographics","Lead time","2-6 months"
Summary,Abstract,"Cafcass (Children and Family Court Advisory and Support Service) England Family Justice dataset."
Summary,"DOI for dataset",
Documentation,Description,"Cafcass (Children and Family Court Advisory and Support Service) England Family Justice dataset."
Documentation,"Dataset type","Health and disease"
Documentation,"Dataset sub-type",
Documentation,"Dataset population size",1104569
Documentation,"Associated media","https://popdatasci.swan.ac.uk/centres-of-excellence, https://saildatabank.com/, https://saildatabank.com/about-us/, https://www.gov.uk/government/statistics/family-court-statistics-quarterly-april-to-june-2023/guide-to-family-court-statistics, https://ukserp.atlassian.net/wiki/spaces/SATP/pages/16974128/CAFE+-+Cafcass+England"
Documentation,"Synthetic data web link",
Keywords,Keywords,"CAFE;,;SAIL;,;core-res;,;Children & Young People;,;Crime & Justice;,;Inequality & Social Inclusion"
Provenance,"Purpose of dataset collection",Administrative
Provenance,"Source of dataset extraction",Other
Provenance,"Collection source setting",Other
Provenance,"Patient pathway description","Family justice cases"
Provenance,"Image contrast","Not stated"
Provenance,"Biological sample availability","None/not available"
Details,"Publishing frequency",Irregular
Details,Version,14.0.0
Details,Modified,2024-10-08T11:29:26.942Z
Details,"Distribution release date",
Details,"Citation Requirements","Cafcass England: https://www.cafcass.gov.uk/,,"
Coverage,"Start date",2007-04-03T23:00:00.000Z
Coverage,"End date",2024-11-11T23:00:00.000Z
Coverage,"Time lag","2-4 weeks"
Coverage,"Geographic coverage","United Kingdom,England"
Coverage,"Minimum age range",0
Coverage,"Maximum age range",18
Coverage,Follow-up,Other
Coverage,"Dataset completeness",
Omics,Assay,
Omics,Platform,
Accessibility,Language,en
Accessibility,"Alignment with standardised data models",LOCAL
Accessibility,"Controlled vocabulary",LOCAL
Accessibility,Format,"SQL database table"
"Data Access Request","Dataset pipeline status",Available
"Data Access Request","Access rights",https://saildatabank.com/data/apply-to-work-with-the-data/
"Data Access Request","Time to dataset access","2-6 months"
"Data Access Request","Access request cost","Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements."
"Data Access Request","Access method category",TRE/SDE
"Data Access Request","Access mode","Project-specific restrictions;,;Time limit on use;,;User-specific restriction"
"Data Access Request","Access service description","The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
"Data Access Request",Jurisdiction,GB-ENG
"Data Access Request","Data use limitation","General research use"
"Data Access Request","Data use requirements","Project-specific restrictions;,;Time limit on use;,;User-specific restriction"
"Data Access Request","Data Controller","SAIL Databank"
"Data Access Request","Data Processor","SAIL Databank"
"Data Access Request",Investigations,null
Demographics,"Demographic Frequency",null
