"Table Name","Table Description","Column Name","Column Description","Data Type",Sensitive
CHILD_MAIN,"Looked after children. Personal details of the child, such as date of birth, sex, ethnic origin and legal status",ASYLUM,"Unaccompanied asylum seeking children (UASC) aged under 18 for whom the local authority conclude, as part of a formal decision-making process, that in order to safeguard and promote the child’s welfare they should be looked after. 0 = the child was not UASC on 31 March 20XX; 1 = the child was UASC on 31 March 20XX.",VARCHAR,false
CHILD_MAIN,"Looked after children. Personal details of the child, such as date of birth, sex, ethnic origin and legal status",AVAIL_FROM_DT,"Date that the data is available in SAIL.",DATE,false
CHILD_MAIN,"Looked after children. Personal details of the child, such as date of birth, sex, ethnic origin and legal status",DATE_CEASED_UASC,"Date when the child ceased to be an unaccompanied asylum seeking child, if applicable.",DATE,false
CHILD_MAIN,"Looked after children. Personal details of the child, such as date of birth, sex, ethnic origin and legal status",DATE_OF_DATA_COLLECTION,"Data collection date; this is the date when the data was loaded by the Local Authority to Statistics for Wales, this is typically the 31 May. The data collected covers the financial year (1 April 20XX to 31 March 20XX). For longitudinal anaylsis, YEAR_CODE should be used.",DATE,false
CHILD_MAIN,"Looked after children. Personal details of the child, such as date of birth, sex, ethnic origin and legal status",DISABILITY_CODE,"A True/False field indicating whether the child had a disability on 31 March 20XX. For the purposes of this item, the definition of disabled follows that of Section 6 of the Equality Act 2010, which states that: ""A person (P) has a disability if (a) P has a physical or mental imparment AND (b) the impairment has a substantial and long-term adverse effect on P's ability to carry out normal day-to-day activities.” 0 = the child does not have a disability; 1 = the child has a disability; 2 = unknown",VARCHAR,false
CHILD_MAIN,"Looked after children. Personal details of the child, such as date of birth, sex, ethnic origin and legal status",ETHNICITY,"Determined by first asking the child about their ethnic identity. If they are not yet old enough to respond, their primary carer are asked. These codes changed to broader categories in 2016 following changes to the Social Services and Well-being (Wales) Act (2014).",VARCHAR,false
CHILD_MAIN,"Looked after children. Personal details of the child, such as date of birth, sex, ethnic origin and legal status",HYBRID_ID_PE,"Constructed from the SYSTEM_ID and LOCAL_AUTHORITY_CODE combined, it can be uased to link between views instead of having to use the linkage of the two variables",VARCHAR,false
CHILD_MAIN,"Looked after children. Personal details of the child, such as date of birth, sex, ethnic origin and legal status",IRN_PE,"The Individual Record Number is a derivation of the Unique Pupil Number (UPN - an identifier only for use in an educational context) which is allocated to each child in maintained schools or nursery schools. SAIL-encrypted Individual Record Number; links to the EDUW dataset, field SYSTEM_ID_E",BIGINT,false
CHILD_MAIN,"Looked after children. Personal details of the child, such as date of birth, sex, ethnic origin and legal status",LOCAL_AUTHORITY_CODE,"The local authority reference number which is responsible for providing, arranging, or making direct care and support to children or young carers on 31 March 20XX.",INTEGER,false
CHILD_MAIN,"Looked after children. Personal details of the child, such as date of birth, sex, ethnic origin and legal status",LSOA2011_HOME_POSTCODE,"The code for the Local Super Output Area [LSOA] of residence based on the postcode of the address where the child was living when they first became looked after; if the child becomes looked after while in hospital after being born, use the mother’s home address.",VARCHAR,false
