cms_reporting_month,number_of_states,total_renewals_due,total_renewed_total,total_procedural_terminations,total_ineligible_terminations,total_pending_renewals,national_procedural_burden_due,national_ex_parte_rate_due,national_pending_rate_due,national_termination_rate_due
3,51,73737.0,50642.0,10083.0,12338.0,674.0,0.13674274787420154,0.271546170850455,0.009140594274244952,0.30406715760066183
4,51,2282496.0,1320326.0,680987.0,245237.0,35946.0,0.2983518919638852,0.2511106262617766,0.015748548956931358,0.405794358456707
5,51,4157852.0,2170077.0,1346449.0,470172.0,171154.0,0.3238328348387581,0.24646500164027002,0.041164043357002605,0.43691333890672396
6,51,6620611.0,4057498.0,1574798.0,605668.0,382647.0,0.23786294044462059,0.30924577807093634,0.05779632725740872,0.3293451314387751
7,51,7174294.0,4420075.0,1656277.0,668601.0,429341.0,0.230862716247759,0.3252729815644578,0.05984435541671417,0.32405669463782777
8,51,7450888.0,4359160.0,1827751.0,736493.0,527484.0,0.24530646548438254,0.3193599205893311,0.07079478311846857,0.34415280433687906
9,51,7294768.0,4492289.0,1458390.0,757941.0,586148.0,0.19992273914674188,0.34149557600735214,0.08035183572664682,0.3038247412392005
10,51,7204592.0,4675058.0,1416086.0,638073.0,475375.0,0.19655325381367883,0.3852841354513899,0.06598222355964085,0.28511801917443763
11,51,7246473.0,4464020.0,1538553.0,660029.0,583871.0,0.21231749569756211,0.35251507871484516,0.08057312847229266,0.30340028866456825
12,51,7029274.0,4845102.0,1195032.0,558427.0,430713.0,0.17000788417125295,0.4764787942538589,0.061274179950874016,0.2494509390301189
