window,window_role,feature_family,outcome,outcome_role,group_label,pre_rows,pre_weight,pre_rate,pre_event_weight,unwinding_rows,unwinding_weight,unwinding_rate,unwinding_event_weight,pre_rank_high,unwinding_rank_high,rank_delta,rate_change
core_aug_oct_2023,primary,age_band,persistent_uninsured_h2,primary_harm,age_0_17,18509,171054312.1030132,0.00127101,217411.5929364,7934,82586157.2207043,0.00305505,252304.8061103,3,2,-1.0,0.00178404
core_aug_oct_2023,primary,age_band,persistent_uninsured_h2,primary_harm,age_18_25,5041,47676209.6631499,0.00130388,62164.033199,2292,25139261.5418165,0.00685593,172353.0305589,2,1,-1.0,0.00555205
core_aug_oct_2023,primary,age_band,persistent_uninsured_h2,primary_harm,age_26_44,9259,88635641.34387778,0.00154336,136796.487739,4095,42076889.57958413,0.00190293,80069.2691572,1,4,3.0,0.00035957
core_aug_oct_2023,primary,age_band,persistent_uninsured_h2,primary_harm,age_45_64,8791,70823213.7533111,0.00052034,36852.0646091,4197,36996968.0547689,0.00258549,95655.2891052,4,3,-1.0,0.00206515
core_aug_oct_2023,primary,age_band,persistent_uninsured_h2,primary_harm,age_65_plus,6465,37077628.58819134,0.0,0.0,3256,20651225.6848833,0.00039222,8099.8258162,5,5,0.0,0.00039222
core_aug_oct_2023,primary,age_band,broad_exit_persistent_uninsured_h2,primary_harm,age_0_17,18509,171054312.1030132,0.00127101,217411.5929364,7934,82586157.2207043,0.00305505,252304.8061103,3,2,-1.0,0.00178404
core_aug_oct_2023,primary,age_band,broad_exit_persistent_uninsured_h2,primary_harm,age_18_25,5041,47676209.6631499,0.00130388,62164.033199,2292,25139261.5418165,0.00727617,182917.4503599,2,1,-1.0,0.00597229
core_aug_oct_2023,primary,age_band,broad_exit_persistent_uninsured_h2,primary_harm,age_26_44,9259,88635641.34387778,0.00154336,136796.487739,4095,42076889.57958413,0.00190293,80069.2691572,1,4,3.0,0.00035957
core_aug_oct_2023,primary,age_band,broad_exit_persistent_uninsured_h2,primary_harm,age_45_64,8791,70823213.7533111,0.00052034,36852.0646091,4197,36996968.0547689,0.00258549,95655.2891052,4,3,-1.0,0.00206515
core_aug_oct_2023,primary,age_band,broad_exit_persistent_uninsured_h2,primary_harm,age_65_plus,6465,37077628.58819134,0.0,0.0,3256,20651225.6848833,0.00039222,8099.8258162,5,5,0.0,0.00039222
core_aug_oct_2023,primary,age_band,broad_exit_resolved_insured_h2,contrast_resolution,age_0_17,18509,171054312.1030132,0.00135816,232319.4512063,7934,82586157.2207043,0.00459213,379246.6354004,4,4,0.0,0.00323397
core_aug_oct_2023,primary,age_band,broad_exit_resolved_insured_h2,contrast_resolution,age_18_25,5041,47676209.6631499,0.00231682,110457.3884586,2292,25139261.5418165,0.0079079,198798.6917256,2,1,-1.0,0.00559107
core_aug_oct_2023,primary,age_band,broad_exit_resolved_insured_h2,contrast_resolution,age_26_44,9259,88635641.34387778,0.00273202,242154.6845015,4095,42076889.57958413,0.00540192,227296.1734273,1,2,1.0,0.0026699
core_aug_oct_2023,primary,age_band,broad_exit_resolved_insured_h2,contrast_resolution,age_45_64,8791,70823213.7533111,0.00176178,124775.1957627,4197,36996968.0547689,0.00373064,138022.541086,3,5,2.0,0.00196886
core_aug_oct_2023,primary,age_band,broad_exit_resolved_insured_h2,contrast_resolution,age_65_plus,6465,37077628.58819134,0.00126085,46749.3801649,3256,20651225.6848833,0.00478596,98835.9387893,5,3,-2.0,0.00352511
core_aug_oct_2023,primary,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,age_0_17,18528,171351232.97192436,0.00126881,217411.5929364,7941,82669656.1204572,0.00329367,272286.2931033,3,2,-1.0,0.00202486
core_aug_oct_2023,primary,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,age_18_25,5058,47900832.4688935,0.00129777,62164.033199,2310,25487005.092182,0.00676239,172353.0305589,2,1,-1.0,0.00546462
core_aug_oct_2023,primary,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,age_26_44,9274,88807997.11063486,0.00157727,140074.1537522,4104,42203009.67794773,0.00267747,112997.1108752,1,3,2.0,0.0011002
core_aug_oct_2023,primary,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,age_45_64,8801,70945036.8305952,0.00051945,36852.0646091,4206,37064547.3963898,0.00258078,95655.2891052,4,4,0.0,0.00206133
core_aug_oct_2023,primary,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,age_65_plus,6480,37182861.37945354,0.0,0.0,3266,20716291.056206,0.00039099,8099.8258162,5,5,0.0,0.00039099
core_aug_oct_2023,primary,female_group,persistent_uninsured_h2,primary_harm,female,27046,228794140.27654132,0.00133146,304629.3896552,12097,113213930.86502025,0.0024548,277917.6198435,1,2,1.0,0.00112334
core_aug_oct_2023,primary,female_group,persistent_uninsured_h2,primary_harm,male,21019,186472865.17500195,0.00079687,148594.7888283,9677,94236571.2167369,0.00350782,330564.6009043,2,1,-1.0,0.00271095
core_aug_oct_2023,primary,female_group,broad_exit_persistent_uninsured_h2,primary_harm,female,27046,228794140.27654132,0.00133146,304629.3896552,12097,113213930.86502025,0.00254811,288482.0396445,1,2,1.0,0.00121666
core_aug_oct_2023,primary,female_group,broad_exit_persistent_uninsured_h2,primary_harm,male,21019,186472865.17500195,0.00079687,148594.7888283,9677,94236571.2167369,0.00350782,330564.6009043,2,1,-1.0,0.00271095
core_aug_oct_2023,primary,female_group,broad_exit_resolved_insured_h2,contrast_resolution,female,27046,228794140.27654132,0.00150777,344968.8944061,12097,113213930.86502025,0.00504353,570997.538888,2,1,-1.0,0.00353576
core_aug_oct_2023,primary,female_group,broad_exit_resolved_insured_h2,contrast_resolution,male,21019,186472865.17500195,0.00220669,411487.2056879,9677,94236571.2167369,0.00500021,471202.4415406,1,2,1.0,0.00279352
