year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
1996,22601,22601,"1,2,3",1,3,1.4843590991549,0
1997,34551,34551,"1,2,3",1,3,1.51952186622674,0
1998,24072,24072,"1,2,3",1,3,1.52305583250249,0
1999,24618,24618,"1,2,3",1,3,1.4649037289788,0
2000,25096,25096,"1,2,3",1,3,1.49075549888428,0
2001,33556,33556,"1,2,3",1,3,1.49877816187865,0
2002,39165,39165,"1,2,3",1,3,1.53409932337546,0
2003,34215,34215,"1,2,3",1,3,1.59424229139266,0
2004,34403,34403,"1,2,3",1,3,1.6026509316048,0
2005,33961,33961,"1,2,3",1,3,1.60819763846765,0
2006,34145,34145,"1,2,3",1,3,1.60749743739933,0
2007,30964,30964,"1,2,3",1,3,1.6059940576153,0
2008,33066,33066,"1,2,3",1,3,1.61800641141959,0
2009,36855,36855,"1,2,3",1,3,1.63426943426943,0
2010,32846,32846,"1,2,3",1,3,1.64543627839006,0
2011,35313,35313,"1,2,3",1,3,1.65389516608614,0
2012,38974,38974,"1,2,3",1,3,1.67604043721455,0
2013,36940,36940,"1,2,3",1,3,1.69009204114781,0
2014,34875,34875,"1,2,3",1,3,1.63122580645161,0
2015,35427,35427,"1,2,3",1,3,1.58949388884184,0
2016,34655,34655,"1,2,3",1,3,1.57564564997836,0
2017,31880,31880,"1,2,3",1,3,1.52267879548306,0
