year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
1996,22601,22262,"1,2,3,4",1,4,2.62986254604258,339
1997,34551,33840,"1,2,3,4",1,4,2.66217494089835,711
1998,24072,23812,"1,2,3,4",1,4,2.70258693095918,260
1999,24618,24403,"1,2,3,4",1,4,2.72679588575175,215
2000,25096,24895,"1,2,3,4",1,4,2.74910624623418,201
2001,33556,33286,"1,2,3,4",1,4,2.74142282040498,270
2002,39165,38859,"1,2,3,4",1,4,2.76180550194292,306
2003,34215,33929,"1,2,3,4",1,4,2.77989330661086,286
2004,34403,34117,"1,2,3,4",1,4,2.77149221795586,286
2005,33961,33645,"1,2,3,4",1,4,2.79230197651954,316
2006,34145,33880,"1,2,3,4",1,4,2.80714285714286,265
2007,30964,30747,"1,2,3,4",1,4,2.77392916382086,217
2008,33066,32815,"1,2,3,4",1,4,2.76946518360506,251
2009,36855,36578,"1,2,3,4",1,4,2.78443326589753,277
2010,32846,32586,"1,2,3,4",1,4,2.76235193027681,260
2011,35313,35064,"1,2,3,4",1,4,2.7527948893452,249
2012,38974,38687,"1,2,3,4",1,4,2.76803577429111,287
2013,36940,36715,"1,2,3,4",1,4,2.77709383085932,225
2014,34875,34666,"1,2,3,4",1,4,2.79971730225581,209
2015,35427,35192,"1,2,3,4",1,4,2.79634576040009,235
2016,34655,34399,"1,2,3,4",1,4,2.76269659001715,256
2017,31880,31676,"1,2,3,4",1,4,2.74090794292209,204
