year,n_valid,mean,median,sd,p25,p75,p95,max,zeros_pct
1996,22601,99.250387151011,8,299.731217207997,0,65,503,10217,42.0202645900624
1997,34551,120.519058782669,6,371.678888032353,0,70,624,10947,44.9277879077306
1998,24072,133.90474410103,9,430.540992183852,0,82,669.450000000001,20215,43.5319042871386
1999,24618,146.282719961004,9,505.04496729468,0,87,729,32855,42.7370216914453
2000,25096,158.504462862608,9,486.689070255132,0,100,813,25627,43.4810328339178
2001,33556,194.178120157349,12,597.848063399323,0,135,965,30604,41.2891882226726
2002,39165,198.552406485382,10,595.485995873904,0,134,1003.8,18012,42.9388484616367
2003,34215,249.690135905305,10,764.504907068724,0,155,1282.3,36605,43.7030542159871
2004,34403,239.606662209691,5,855.686810056476,0,133,1225.9,49821,47.2226259337849
2005,33961,241.443096493036,6,852.581215096724,0,146,1228,68964,46.6917935278702
2006,34145,230.217454971445,8,792.283402574623,0,157,1159,50207,46.1180260653097
2007,30964,193.534201007622,5,648.969966087846,0,127,949.849999999999,31172,46.9609869525901
2008,33066,168.737706405371,1,702.929674783864,0,92.75,801,42770,49.6431379664913
2009,36855,138.593162393162,0,515.003483212682,0,75,710,28075,51.7487450820784
2010,32846,146.191865067284,0,524.989823382984,0,75,756.75,27233,53.2972051391342
2011,35313,140.778580126299,0,539.545483771869,0,73,719,38266,52.6633251210602
2012,38974,128.737004156617,0,550.285878642368,0,60,645,32848,54.3824087853441
2013,36940,115.625636166757,0,520.259001534446,0,51,560,31602,54.9269085002707
2014,34875,109.826924731183,0,596.678181619412,0,48,517,38939,55.0537634408602
2015,35427,113.642730121094,0,549.34201725638,0,48,529,34616,54.7012165862196
2016,34655,111.953801760208,0,536.660935335441,0,48,525.299999999996,35545,54.8867407300534
2017,31880,122.181148055207,0,614.651398921467,0,60,547,34842,52.9422835633626
2018,30461,141.439775450576,1,681.012400078013,0,78,631,36375,49.8801746495519
2019,28512,148.595117845118,2,867.125681608965,0,81,655,80577,48.9653479236813
2020,27805,138.085236468261,0,868.836810193624,0,72,607.799999999999,76985,51.8791584247438
2021,28336,142.989695087521,0,708.789004725722,0,79,634.25,46651,50.3352625635234
2022,22431,134.262360126611,1,606.764049026345,0,80,616,40381,49.0125273059605
2023,18919,155.737036841271,3,1007.82708049863,0,83,620,50940,48.0522226333316
