year,n_valid,mean,median,sd,p25,p75,p95,max,zeros_pct
1996,22601,321.951727799655,77,831.394777646582,0,318,1389,42646,25.8926596168311
1997,34551,353.012850568725,70,1109.4946860174,0,327,1492.5,77409,28.7111805736448
1998,24072,355.985709538053,72,1077.45325412003,0,330,1512.35,64267,27.8040877367896
1999,24618,375.387602567227,80,1012.10736679047,0,361,1665,48987,26.1840929401251
2000,25096,397.057220274147,81,1075.92535491536,0,379,1765,58204,26.8648390181702
2001,33556,451.920044105376,103,1138.04340099593,0,445,2003,65761,25.5334366432233
2002,39165,461.097612664369,91,1180.03688819349,0,447,2046.59999999999,73358,27.3381846036002
2003,34215,507.103609527985,93,1467.81237620273,0,483,2281.3,102741,28.6044132690341
2004,34403,508.8014126675,83,1296.69738081575,0,471,2382.8,50850,30.7880126733134
2005,33961,534.096228026265,88,1590.07516526712,0,500,2383,74422,31.0326551043844
2006,34145,548.363244984625,97,1612.61899141465,0,526,2425.8,113819,30.3324059159467
2007,30964,512.339652499677,92,1407.14823361655,0,494.25,2296,70262,30.561296990053
2008,33066,483.243573459142,72,1372.2106931401,0,426,2157,50125,32.8131615556765
2009,36855,458.690516890517,65,1505.1967134923,0,405,2038,105124,34.1283407950075
2010,32846,438.478475309018,54,1260.50685966288,0,383.75,2009.75,54542,36.1870547403032
2011,35313,432.658057939003,50,1363.62239196461,0,372,1969.2,93536,36.8816016764364
2012,38974,420.685508287576,39,1625.33752516906,0,327,1905,113827,38.3640375635039
2013,36940,425.429913373037,44,1519.61641064636,0,339,1935.05,108389,37.6989713048186
2014,34875,416.652415770609,38,1365.96530461558,0,326,1934.3,72095,38.5376344086022
2015,35427,449.816834617665,41,1554.3555962365,0,346.5,2102.7,84747,37.8496626866514
2016,34655,470.605626893666,43,1574.36756109816,0,367,2191.3,104365,38.199394026836
2017,31880,541.033971141782,64,1849.41986536197,0,442,2439.05,130816,35.3074027603513
2018,30461,732.505630150028,116,2732.15966761094,0,619,3209,221100,30.258363152884
2019,28512,791.345468574635,124,2930.68329634298,0,664.25,3416.89999999999,210918,29.8891694725028
2020,27805,742.319834562129,95,3628.15962244792,0,579,3070.6,272658,32.4114367919439
2021,28336,886.748764822134,128,3162.92093536256,0,729,3759.75,169281,30.2971485036702
2022,22431,955.028442780081,154,5241.30734093786,0,808,3940.5,598396,28.7147251571486
2023,18919,1021.29182303504,178,3226.99714067535,0,887,4388,186652,27.268883133358
