project,dataset_path,variable,dtype,row_count,profile_basis,profile_rows,nonmissing_in_profile,missing_in_profile,unique_in_profile,min,p25,median,p75,max,mean,std,top_value,top_value_count
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,float64,446800,first_10000_rows,10000,10000,0,5155,200.29,409.78,473.95000000000005,559.805,1257.4,501.533182,134.13983256372023,428.81,150
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,int64,446800,first_10000_rows,10000,10000,0,300,1001,5083.0,12033.0,12103.0,13089,9335.7169,3954.8356842583657,12117,180
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,object,446800,first_10000_rows,10000,10000,0,255,,,,,,,,Clay,181
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,data_quality_notes,object,446800,first_10000_rows,10000,10000,0,1,,,,,,,,PY2021 direct QHP Landscape from official Data.HealthCare.gov dataset jzae-njub.,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,float64,446800,first_10000_rows,10000,10000,0,5279,195.983765,407.35,469.7397985,553.85,1257.4,497.60619699789993,134.57889827786087,428.81,150
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_missing_flag,bool,446800,first_10000_rows,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,float64,446800,first_10000_rows,10000,10000,0,46,91.95,99.26,100.0,100.0,100.0,99.174902,1.576973409702742,100.0,7054
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,object,446800,first_10000_rows,10000,10000,0,46,,,,,,,,100.00%,7054
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_premium_component_source,object,446800,first_10000_rows,10000,10000,0,1,,,,,,,,QHP Landscape EHB Percent of Total Premium,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_share_of_total_premium,float64,446800,first_10000_rows,10000,10000,0,46,0.9195,0.9926,1.0,1.0,1.0,0.99174902,0.01576973409702743,1.0,7054
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,issuer_id,int64,446800,first_10000_rows,10000,10000,0,32,12379,21663.0,40572.0,62141.0,97667,43501.4334,22416.00402806939,21663,1575
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,issuer_id_rate,int64,446800,first_10000_rows,10000,10000,0,32,12379,21663.0,40572.0,62141.0,97667,43501.4334,22416.00402806939,21663,1575
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,issuer_name,object,446800,first_10000_rows,10000,10000,0,30,,,,,,,,Ambetter from Sunshine Health,1575
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,likely_reason_for_difference,float64,446800,first_10000_rows,10000,0,10000,0,,,,,,,,,
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,market_type,object,446800,first_10000_rows,10000,10000,0,1,,,,,,,,Individual,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,metal_filter_used,float64,446800,first_10000_rows,10000,0,10000,0,,,,,,,,,
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,metal_level,object,446800,first_10000_rows,10000,10000,0,6,,,,,,,,Silver,4956
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,non_ehb_age_40_premium,float64,446800,first_10000_rows,10000,10000,0,1091,0.0,0.0,0.0,2.809799999999996,40.08148799999992,3.9269850021000003,7.6585924482459555,0.0,7054
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,plan_id,object,446800,first_10000_rows,10000,10000,0,751,,,,,,,,62141AR0080017,75
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,plan_marketing_name,object,446800,first_10000_rows,10000,10000,0,448,,,,,,,,Ambetter Secure Care 5 (2021) + Vision + Adult Dental,188
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,plan_type,object,446800,first_10000_rows,10000,10000,0,4,,,,,,,,EPO,3546
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,premium_difference,float64,446800,first_10000_rows,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,premium_match_flag,bool,446800,first_10000_rows,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,premium_pct_difference,float64,446800,first_10000_rows,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,premium_reconciliation_flag,object,446800,first_10000_rows,10000,10000,0,1,,,,,,,,match,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,premium_source,object,446800,first_10000_rows,10000,10000,0,1,,,,,,,,QHP Landscape,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,qhp_landscape_premium,float64,446800,first_10000_rows,10000,10000,0,5155,200.29,409.78,473.95000000000005,559.805,1257.4,501.533182,134.13983256372023,428.81,150
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,rate_puf_age_40_premium,float64,446800,first_10000_rows,10000,10000,0,5155,200.29,409.78,473.95000000000005,559.805,1257.4,501.533182,134.13983256372023,428.81,150
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,rating_area_id,object,446800,first_10000_rows,10000,10000,0,67,,,,,,,,Rating Area 3,934
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,raw_plan_id_columns_used,object,446800,first_10000_rows,10000,10000,0,1,,,,,,,,Plan ID (Standard Component),10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,service_area_id,float64,446800,first_10000_rows,10000,0,10000,0,,,,,,,,,
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,source_file,object,446800,first_10000_rows,10000,10000,0,1,,,,,,,,data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,10000
