scope,year,rows,constructible_rows,enrollment,any_turnover_count,any_turnover_share_constructible,across_issuer_count,across_issuer_share_constructible,across_issuer_crosswalk_only_count,across_issuer_plan_panel_only_count,across_issuer_plan_id_prefix_count,within_only_count,lowest_turnover_count,second_lowest_turnover_count,both_lowest_and_second_count,lowest_across_count,second_lowest_across_count,notes,state,pooled
year,2022.0,2159,2159,9636366.0,1624,0.7522000926354794,88,0.04075961093098657,88,88,88,1536,1171,1545,1092,86,88,Debug decomposition for treatment-count mismatch; descriptive only.,,
year,2023.0,2159,2159,11503884.0,1258,0.5826771653543307,5,0.002315886984715146,5,5,5,1253,778,1162,682,2,4,Debug decomposition for treatment-count mismatch; descriptive only.,,
year,2024.0,2159,2159,15900650.0,1306,0.6049096804075961,14,0.006484483557202408,14,14,14,1292,968,1094,756,4,14,Debug decomposition for treatment-count mismatch; descriptive only.,,
state_year,2022.0,67,67,219314.0,14,0.208955223880597,0,0.0,0,0,0,14,7,14,7,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AL,
state_year,2023.0,67,67,258327.0,61,0.9104477611940298,0,0.0,0,0,0,61,21,61,21,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AL,
state_year,2024.0,67,67,386195.0,53,0.7910447761194029,0,0.0,0,0,0,53,50,53,50,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AL,
state_year,2022.0,75,75,88226.0,75,1.0,0,0.0,0,0,0,75,75,75,75,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AR,
state_year,2023.0,75,75,100407.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AR,
state_year,2024.0,75,75,156607.0,75,1.0,0,0.0,0,0,0,75,75,75,75,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AR,
state_year,2022.0,15,15,199706.0,9,0.6,0,0.0,0,0,0,9,9,9,9,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AZ,
state_year,2023.0,15,15,235229.0,8,0.5333333333333333,0,0.0,0,0,0,8,3,8,3,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,AZ,
