state,year,county_fips,rank,top_two_selection_variant,exposure_universe,current_repo_lowest_or_second_plan,alternative_lowest_or_second_plan,reason_for_difference,current_repo_turnover_status,alternative_turnover_status,current_repo_across_status,alternative_across_status,current_repo_prior_premium,alternative_prior_premium,current_repo_current_premium,alternative_current_premium,current_repo_previous_issuer,alternative_previous_issuer,current_repo_crosswalk_current_plan,alternative_crosswalk_current_plan,current_repo_current_issuer,alternative_current_issuer,notes
KS,2022,20001,lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010012,80065KS0010012,same_as_current_repo_or_kansas_context,True,True,True,True,441.03,441.03,454.22,454.22,80065,80065,34368KS0110012,34368KS0110012,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20001,second_lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010009,80065KS0010009,same_as_current_repo_or_kansas_context,True,True,True,True,448.58,448.58,459.69,459.69,80065,80065,34368KS0110009,34368KS0110009,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20003,lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010012,80065KS0010012,same_as_current_repo_or_kansas_context,True,True,True,True,496.01,496.01,490.76,490.76,80065,80065,34368KS0110012,34368KS0110012,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20003,second_lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010009,80065KS0010009,same_as_current_repo_or_kansas_context,True,True,True,True,504.5,504.5,496.67,496.67,80065,80065,34368KS0110009,34368KS0110009,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20005,lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010012,80065KS0010012,same_as_current_repo_or_kansas_context,True,True,True,True,496.01,496.01,490.76,490.76,80065,80065,34368KS0110012,34368KS0110012,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20005,second_lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010009,80065KS0010009,same_as_current_repo_or_kansas_context,True,True,True,True,504.5,504.5,496.67,496.67,80065,80065,34368KS0110009,34368KS0110009,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20007,lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010012,80065KS0010012,same_as_current_repo_or_kansas_context,True,True,True,True,504.03,504.03,498.45,498.45,80065,80065,34368KS0110012,34368KS0110012,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20007,second_lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010009,80065KS0010009,same_as_current_repo_or_kansas_context,True,True,True,True,512.65,512.65,504.46,504.46,80065,80065,34368KS0110009,34368KS0110009,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20009,lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010012,80065KS0010012,same_as_current_repo_or_kansas_context,True,True,True,True,459.0,459.0,473.44,473.44,80065,80065,34368KS0110012,34368KS0110012,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20009,second_lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010009,80065KS0010009,same_as_current_repo_or_kansas_context,True,True,True,True,466.86,466.86,479.15,479.15,80065,80065,34368KS0110009,34368KS0110009,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20011,lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010012,80065KS0010012,same_as_current_repo_or_kansas_context,True,True,True,True,441.03,441.03,454.22,454.22,80065,80065,34368KS0110012,34368KS0110012,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20011,second_lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010009,80065KS0010009,same_as_current_repo_or_kansas_context,True,True,True,True,448.58,448.58,459.69,459.69,80065,80065,34368KS0110009,34368KS0110009,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20013,lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010012,80065KS0010012,same_as_current_repo_or_kansas_context,True,True,True,True,496.01,496.01,490.76,490.76,80065,80065,34368KS0110012,34368KS0110012,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20013,second_lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010009,80065KS0010009,same_as_current_repo_or_kansas_context,True,True,True,True,504.5,504.5,496.67,496.67,80065,80065,34368KS0110009,34368KS0110009,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20015,lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010012,80065KS0010012,same_as_current_repo_or_kansas_context,True,True,True,True,457.99,457.99,477.66,477.66,80065,80065,34368KS0110012,34368KS0110012,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20015,second_lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010009,80065KS0010009,same_as_current_repo_or_kansas_context,True,True,True,True,465.83,465.83,483.41,483.41,80065,80065,34368KS0110009,34368KS0110009,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20017,lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010012,80065KS0010012,same_as_current_repo_or_kansas_context,True,True,True,True,457.99,457.99,477.66,477.66,80065,80065,34368KS0110012,34368KS0110012,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20017,second_lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010009,80065KS0010009,same_as_current_repo_or_kansas_context,True,True,True,True,465.83,465.83,483.41,483.41,80065,80065,34368KS0110009,34368KS0110009,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20019,lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010012,80065KS0010012,same_as_current_repo_or_kansas_context,True,True,True,True,457.99,457.99,477.66,477.66,80065,80065,34368KS0110012,34368KS0110012,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
KS,2022,20019,second_lowest,all_tied_lowest_or_second_lowest,exactly_two_plans,80065KS0010009,80065KS0010009,same_as_current_repo_or_kansas_context,True,True,True,True,465.83,465.83,483.41,483.41,80065,80065,34368KS0110009,34368KS0110009,34368,34368,Kansas 2022 included by requirement; other rows included when alternative top-two creates across turnover.
