exposure_family,exposure_variant,exposure_kind,window,alignment,mean_signed_corr_all,all_expected_direction,outcomes_used
backlog_automation_composite,backlog_automation_rank_index,composite_rank,core_aug_oct_2023,same,0.1482,True,3
backlog_automation_composite,backlog_automation_index,composite_z,core_aug_oct_2023,same,0.1242,True,3
pending_backlog_component,pending_rate,component,core_aug_oct_2023,same,0.1128,True,3
backlog_automation_composite,backlog_automation_rank_index,composite_rank,core_aug_oct_2023,lead1,0.0875,False,3
backlog_automation_composite,backlog_automation_index,composite_z,core_aug_oct_2023,lead1,0.0858,False,3
backlog_automation_composite,backlog_automation_rank_index,composite_rank,core_aug_oct_2023,lag1,0.084,True,3
manual_burden_comparison,backlog_form_index,secondary_composite,core_aug_oct_2023,same,0.0772,True,3
pending_backlog_component,pending_rate,component,core_aug_oct_2023,lead1,0.0742,False,3
ex_parte_component,ex_parte_renewal_rate,component,core_aug_oct_2023,same,0.0699,True,3
manual_burden_comparison,backlog_form_index,secondary_composite,core_aug_oct_2023,lead1,0.068,False,3
backlog_automation_composite,backlog_automation_index,composite_z,core_aug_oct_2023,lag1,0.0532,True,3
manual_burden_comparison,backlog_form_index,secondary_composite,core_aug_oct_2023,lag1,0.0517,True,3
pending_backlog_component,pending_rate,component,core_aug_oct_2023,lag1,0.0455,True,3
ex_parte_component,ex_parte_renewal_rate,component,core_aug_oct_2023,lead1,0.0359,False,3
ex_parte_component,ex_parte_renewal_rate,component,core_aug_oct_2023,lag1,0.0296,True,3
backlog_automation_composite,backlog_automation_rank_index,composite_rank,core_aug_oct_2023,lag2,0.0191,False,3
pending_backlog_component,pending_rate,component,core_aug_oct_2023,lag2,0.0188,False,3
backlog_automation_composite,backlog_automation_index,composite_z,core_aug_oct_2023,lag2,0.0052,False,3
ex_parte_component,ex_parte_renewal_rate,component,core_aug_oct_2023,lag2,-0.0134,False,3
manual_burden_comparison,backlog_form_index,secondary_composite,core_aug_oct_2023,lag2,-0.0158,False,3
backlog_automation_composite,backlog_automation_rank_index,composite_rank,mature_jun_oct_2023,same,0.1362,True,3
backlog_automation_composite,backlog_automation_index,composite_z,mature_jun_oct_2023,same,0.1105,True,3
backlog_automation_composite,backlog_automation_rank_index,composite_rank,mature_jun_oct_2023,lag1,0.1002,True,3
pending_backlog_component,pending_rate,component,mature_jun_oct_2023,same,0.0945,True,3
backlog_automation_composite,backlog_automation_rank_index,composite_rank,mature_jun_oct_2023,lead1,0.087,False,3
backlog_automation_composite,backlog_automation_index,composite_z,mature_jun_oct_2023,lead1,0.0799,False,3
backlog_automation_composite,backlog_automation_index,composite_z,mature_jun_oct_2023,lag1,0.0762,True,3
ex_parte_component,ex_parte_renewal_rate,component,mature_jun_oct_2023,same,0.0688,False,3
pending_backlog_component,pending_rate,component,mature_jun_oct_2023,lead1,0.0613,True,3
pending_backlog_component,pending_rate,component,mature_jun_oct_2023,lag1,0.055,True,3
ex_parte_component,ex_parte_renewal_rate,component,mature_jun_oct_2023,lag1,0.053,False,3
ex_parte_component,ex_parte_renewal_rate,component,mature_jun_oct_2023,lead1,0.0479,False,3
manual_burden_comparison,backlog_form_index,secondary_composite,mature_jun_oct_2023,lag1,0.0443,True,3
manual_burden_comparison,backlog_form_index,secondary_composite,mature_jun_oct_2023,same,0.0429,True,3
manual_burden_comparison,backlog_form_index,secondary_composite,mature_jun_oct_2023,lead1,0.0366,True,3
backlog_automation_composite,backlog_automation_rank_index,composite_rank,mature_jun_oct_2023,lag2,0.0343,False,3
pending_backlog_component,pending_rate,component,mature_jun_oct_2023,lag2,0.03,False,3
backlog_automation_composite,backlog_automation_index,composite_z,mature_jun_oct_2023,lag2,0.0282,False,3
manual_burden_comparison,backlog_form_index,secondary_composite,mature_jun_oct_2023,lag2,0.0095,False,3
ex_parte_component,ex_parte_renewal_rate,component,mature_jun_oct_2023,lag2,0.0084,True,3
