dataset,reference_year,window,exposure_family,exposure_variant,alignment,outcome,support_rows,support_weight,months_used,weighted_corr,high_minus_low,direction_flag,label
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,same,medicaid_exit_to_uninsured_next,21847,208140509.34,3,0.1636,0.003,expected,"pure Medicaid at t, uninsured at t+1"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,lag1,medicaid_exit_to_uninsured_next,21726,207089597.15,3,0.0651,0.002,expected,"pure Medicaid at t, uninsured at t+1"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,lead1,medicaid_exit_to_uninsured_next,21847,208140509.34,3,0.1863,0.0019,expected,"pure Medicaid at t, uninsured at t+1"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,lag2,medicaid_exit_to_uninsured_next,21047,201406281.0,3,0.021,0.0012,expected,"pure Medicaid at t, uninsured at t+1"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,same,medicaid_exit_to_uninsured_next,35700,341134991.66,5,0.142,0.003,expected,"pure Medicaid at t, uninsured at t+1"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lag1,medicaid_exit_to_uninsured_next,31932,306259200.65,5,0.1012,0.0027,expected,"pure Medicaid at t, uninsured at t+1"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lead1,medicaid_exit_to_uninsured_next,36387,346801046.12,5,0.1419,0.002,expected,"pure Medicaid at t, uninsured at t+1"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lag2,medicaid_exit_to_uninsured_next,24588,236236534.94,4,0.0488,0.0013,expected,"pure Medicaid at t, uninsured at t+1"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,same,persistent_uninsured_h2,21794,207450502.08,3,0.1407,0.0024,expected,"pure Medicaid at t, uninsured at t+1 and t+2"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,lag1,persistent_uninsured_h2,21673,206399589.89,3,0.0488,0.0014,expected,"pure Medicaid at t, uninsured at t+1 and t+2"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,lead1,persistent_uninsured_h2,21794,207450502.08,3,0.1601,0.0013,expected,"pure Medicaid at t, uninsured at t+1 and t+2"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,lag2,persistent_uninsured_h2,20994,200716273.73,3,0.0042,0.0006,expected,"pure Medicaid at t, uninsured at t+1 and t+2"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,same,persistent_uninsured_h2,35615,340051538.03,5,0.1269,0.0026,expected,"pure Medicaid at t, uninsured at t+1 and t+2"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lag1,persistent_uninsured_h2,31850,305202233.09,5,0.0878,0.0023,expected,"pure Medicaid at t, uninsured at t+1 and t+2"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lead1,persistent_uninsured_h2,36296,345640037.5,5,0.129,0.0016,expected,"pure Medicaid at t, uninsured at t+1 and t+2"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lag2,persistent_uninsured_h2,24524,235411604.32,4,0.0411,0.001,expected,"pure Medicaid at t, uninsured at t+1 and t+2"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,same,broad_exit_persistent_uninsured_h2,21794,207450502.08,3,0.1438,0.0025,expected,"broad Medicaid exit at t+1, uninsured at t+2"
