window,window_role,feature_family,outcome,outcome_role,groups_compared,pre_top_group,unwinding_top_group,pre_top_rate,unwinding_top_rate,pre_unwinding_spearman,top_group_match,stable_flag,pre_total_weight,unwinding_total_weight
core_aug_oct_2023,primary,age_band,persistent_uninsured_h2,primary_harm,5,age_26_44,age_18_25,0.001543,0.006856,0.4,False,False,415267005.45,207450502.08
core_aug_oct_2023,primary,age_band,broad_exit_persistent_uninsured_h2,primary_harm,5,age_26_44,age_18_25,0.001543,0.007276,0.4,False,False,415267005.45,207450502.08
core_aug_oct_2023,primary,age_band,broad_exit_resolved_insured_h2,contrast_resolution,5,age_26_44,age_18_25,0.002732,0.007908,0.5,False,False,415267005.45,207450502.08
core_aug_oct_2023,primary,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,5,age_26_44,age_18_25,0.001577,0.006762,0.7,False,False,416187960.76,208140509.34
core_aug_oct_2023,primary,female_group,persistent_uninsured_h2,primary_harm,2,female,male,0.001331,0.003508,-1.0,False,False,415267005.45,207450502.08
core_aug_oct_2023,primary,female_group,broad_exit_persistent_uninsured_h2,primary_harm,2,female,male,0.001331,0.003508,-1.0,False,False,415267005.45,207450502.08
core_aug_oct_2023,primary,female_group,broad_exit_resolved_insured_h2,contrast_resolution,2,male,female,0.002207,0.005044,-1.0,False,False,415267005.45,207450502.08
core_aug_oct_2023,primary,female_group,medicaid_exit_to_uninsured_next,benchmark_harm,2,female,male,0.001343,0.003878,-1.0,False,False,416187960.76,208140509.34
core_aug_oct_2023,primary,foreign_born_group,persistent_uninsured_h2,primary_harm,2,us_born,us_born,0.001126,0.003033,1.0,True,True,415267005.45,207450502.08
core_aug_oct_2023,primary,foreign_born_group,broad_exit_persistent_uninsured_h2,primary_harm,2,us_born,us_born,0.001126,0.003093,1.0,True,True,415267005.45,207450502.08
core_aug_oct_2023,primary,foreign_born_group,broad_exit_resolved_insured_h2,contrast_resolution,2,us_born,us_born,0.001935,0.005065,1.0,True,True,415267005.45,207450502.08
core_aug_oct_2023,primary,foreign_born_group,medicaid_exit_to_uninsured_next,benchmark_harm,2,us_born,us_born,0.001132,0.003326,1.0,True,True,416187960.76,208140509.34
core_aug_oct_2023,primary,household_child_group,persistent_uninsured_h2,primary_harm,2,household_has_child,household_has_child,0.00116,0.003086,1.0,True,True,415267005.45,207450502.08
core_aug_oct_2023,primary,household_child_group,broad_exit_persistent_uninsured_h2,primary_harm,2,household_has_child,household_has_child,0.00116,0.003166,1.0,True,True,415267005.45,207450502.08
core_aug_oct_2023,primary,household_child_group,broad_exit_resolved_insured_h2,contrast_resolution,2,household_no_child,household_no_child,0.001938,0.005338,1.0,True,True,415267005.45,207450502.08
core_aug_oct_2023,primary,household_child_group,medicaid_exit_to_uninsured_next,benchmark_harm,2,household_has_child,household_has_child,0.00117,0.00348,1.0,True,True,416187960.76,208140509.34
core_aug_oct_2023,primary,noncitizen_group,persistent_uninsured_h2,primary_harm,2,citizen,noncitizen,0.001137,0.004941,-1.0,False,False,415267005.45,207450502.08
core_aug_oct_2023,primary,noncitizen_group,broad_exit_persistent_uninsured_h2,primary_harm,2,citizen,noncitizen,0.001137,0.004941,-1.0,False,False,415267005.45,207450502.08
core_aug_oct_2023,primary,noncitizen_group,broad_exit_resolved_insured_h2,contrast_resolution,2,citizen,citizen,0.001924,0.005256,1.0,True,True,415267005.45,207450502.08
core_aug_oct_2023,primary,noncitizen_group,medicaid_exit_to_uninsured_next,benchmark_harm,2,citizen,noncitizen,0.001143,0.004939,-1.0,False,False,416187960.76,208140509.34
core_aug_oct_2023,primary,pov_band,persistent_uninsured_h2,primary_harm,4,pov_2_4,pov_2_4,0.00132,0.005299,0.4,True,False,413104042.9,206804254.68
core_aug_oct_2023,primary,pov_band,broad_exit_persistent_uninsured_h2,primary_harm,4,pov_2_4,pov_2_4,0.00132,0.005486,0.4,True,False,413104042.9,206804254.68
core_aug_oct_2023,primary,pov_band,broad_exit_resolved_insured_h2,contrast_resolution,4,pov_4_plus,pov_4_plus,0.004121,0.0085,0.8,True,True,413104042.9,206804254.68
core_aug_oct_2023,primary,pov_band,medicaid_exit_to_uninsured_next,benchmark_harm,4,pov_2_4,pov_2_4,0.001318,0.006207,0.4,True,False,413979721.43,207494261.94
core_aug_oct_2023,primary,snap_group,persistent_uninsured_h2,primary_harm,2,snap_no,snap_no,0.001177,0.003798,1.0,True,True,415267005.45,207450502.08
core_aug_oct_2023,primary,snap_group,broad_exit_persistent_uninsured_h2,primary_harm,2,snap_no,snap_no,0.001177,0.003874,1.0,True,True,415267005.45,207450502.08
core_aug_oct_2023,primary,snap_group,broad_exit_resolved_insured_h2,contrast_resolution,2,snap_no,snap_no,0.0024,0.006671,1.0,True,True,415267005.45,207450502.08
core_aug_oct_2023,primary,snap_group,medicaid_exit_to_uninsured_next,benchmark_harm,2,snap_no,snap_no,0.001174,0.004163,1.0,True,True,416187960.76,208140509.34
mature_jun_oct_2023,sensitivity,age_band,persistent_uninsured_h2,primary_harm,5,age_18_25,age_18_25,0.002356,0.006551,0.9,True,True,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,age_band,broad_exit_persistent_uninsured_h2,primary_harm,5,age_18_25,age_18_25,0.002356,0.006801,0.9,True,True,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,age_band,broad_exit_resolved_insured_h2,contrast_resolution,5,age_26_44,age_18_25,0.002577,0.006285,0.5,False,False,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,5,age_18_25,age_18_25,0.00234,0.006467,0.9,True,True,692386389.9,347929963.5
mature_jun_oct_2023,sensitivity,female_group,persistent_uninsured_h2,primary_harm,2,female,male,0.001632,0.003779,-1.0,False,False,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,female_group,broad_exit_persistent_uninsured_h2,primary_harm,2,female,male,0.001632,0.003779,-1.0,False,False,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,female_group,broad_exit_resolved_insured_h2,contrast_resolution,2,male,male,0.00216,0.004514,1.0,True,True,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,female_group,medicaid_exit_to_uninsured_next,benchmark_harm,2,female,male,0.001637,0.004137,-1.0,False,False,692386389.9,347929963.5
mature_jun_oct_2023,sensitivity,foreign_born_group,persistent_uninsured_h2,primary_harm,2,us_born,us_born,0.0014,0.003618,1.0,True,True,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,foreign_born_group,broad_exit_persistent_uninsured_h2,primary_harm,2,us_born,us_born,0.0014,0.003654,1.0,True,True,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,foreign_born_group,broad_exit_resolved_insured_h2,contrast_resolution,2,us_born,us_born,0.001944,0.004645,1.0,True,True,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,foreign_born_group,medicaid_exit_to_uninsured_next,benchmark_harm,2,us_born,us_born,0.001427,0.003864,1.0,True,True,692386389.9,347929963.5
mature_jun_oct_2023,sensitivity,household_child_group,persistent_uninsured_h2,primary_harm,2,household_no_child,household_has_child,0.001382,0.003606,-1.0,False,False,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,household_child_group,broad_exit_persistent_uninsured_h2,primary_harm,2,household_no_child,household_has_child,0.001382,0.003654,-1.0,False,False,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,household_child_group,broad_exit_resolved_insured_h2,contrast_resolution,2,household_no_child,household_no_child,0.002125,0.004626,1.0,True,True,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,household_child_group,medicaid_exit_to_uninsured_next,benchmark_harm,2,household_no_child,household_has_child,0.001377,0.003939,-1.0,False,False,692386389.9,347929963.5
mature_jun_oct_2023,sensitivity,noncitizen_group,persistent_uninsured_h2,primary_harm,2,citizen,citizen,0.001368,0.003358,1.0,True,True,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,noncitizen_group,broad_exit_persistent_uninsured_h2,primary_harm,2,citizen,citizen,0.001368,0.00339,1.0,True,True,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,noncitizen_group,broad_exit_resolved_insured_h2,contrast_resolution,2,citizen,citizen,0.001918,0.004639,1.0,True,True,690590136.49,346768954.88
mature_jun_oct_2023,sensitivity,noncitizen_group,medicaid_exit_to_uninsured_next,benchmark_harm,2,citizen,citizen,0.001392,0.003579,1.0,True,True,692386389.9,347929963.5
mature_jun_oct_2023,sensitivity,pov_band,persistent_uninsured_h2,primary_harm,4,pov_lt_1,pov_2_4,0.001708,0.005051,-0.4,False,False,686888466.64,345679649.43
mature_jun_oct_2023,sensitivity,pov_band,broad_exit_persistent_uninsured_h2,primary_harm,4,pov_lt_1,pov_2_4,0.001708,0.005165,-0.4,False,False,686888466.64,345679649.43
mature_jun_oct_2023,sensitivity,pov_band,broad_exit_resolved_insured_h2,contrast_resolution,4,pov_2_4,pov_4_plus,0.003661,0.006938,0.8,False,False,686888466.64,345679649.43
