dataset,reference_year,stress_test,window,window_role,months_requested,months_used,months_used_count,min_state_cells_per_used_month,exposure_family,exposure_variant,exposure_kind,exposure_role,alignment,outcome,outcome_kind,outcome_label,support_rows,support_weight,weighted_corr,high_minus_low,signed_corr,signed_high_minus_low,direction_flag,support_flag
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,same,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21847,208140509.34,0.2106,0.0029,0.2106,0.0029,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,same,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21794,207450502.08,0.1882,0.0022,0.1882,0.0022,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,same,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21794,207450502.08,0.1919,0.0024,0.1919,0.0024,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,51,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,same,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14519,138213910.95,0.2245,0.0019,0.2245,0.0019,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,same,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21794,207450502.08,-0.0458,-0.0058,0.0458,0.0058,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lag1,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21726,207089597.15,0.118,0.0019,0.118,0.0019,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lag1,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21673,206399589.89,0.1059,0.0012,0.1059,0.0012,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lag1,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21673,206399589.89,0.1079,0.0014,0.1079,0.0014,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,50,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lag1,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14398,137162998.75,0.1563,0.0014,0.1563,0.0014,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lag1,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21673,206399589.89,-0.0281,-0.0029,0.0281,0.0029,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lag2,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21047,201406281.0,0.0502,0.0008,0.0502,0.0008,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lag2,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",20994,200716273.73,0.0325,0.0002,0.0325,0.0002,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lag2,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",20994,200716273.73,0.0325,0.0002,0.0325,0.0002,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,49,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lag2,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",13721,131518143.66,0.0778,0.0005,0.0778,0.0005,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lag2,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",20994,200716273.73,0.0253,-0.0033,-0.0253,0.0033,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lead1,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21847,208140509.34,0.1835,0.0024,0.1835,0.0024,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lead1,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21794,207450502.08,0.1611,0.0018,0.1611,0.0018,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lead1,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21794,207450502.08,0.1634,0.0019,0.1634,0.0019,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,51,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lead1,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14519,138213910.95,0.204,0.0017,0.204,0.0017,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_rank_index,composite_rank,primary,lead1,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21794,207450502.08,0.082,-0.0,-0.082,0.0,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_index,composite_z,comparison,same,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21847,208140509.34,0.1636,0.003,0.1636,0.003,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_index,composite_z,comparison,same,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21794,207450502.08,0.1407,0.0024,0.1407,0.0024,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_index,composite_z,comparison,same,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21794,207450502.08,0.1438,0.0025,0.1438,0.0025,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,51,backlog_automation_composite,backlog_automation_index,composite_z,comparison,same,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14519,138213910.95,0.1933,0.0029,0.1933,0.0029,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,backlog_automation_composite,backlog_automation_index,composite_z,comparison,same,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21794,207450502.08,-0.0684,-0.0026,0.0684,0.0026,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,backlog_automation_composite,backlog_automation_index,composite_z,comparison,lag1,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21726,207089597.15,0.0651,0.002,0.0651,0.002,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,backlog_automation_composite,backlog_automation_index,composite_z,comparison,lag1,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21673,206399589.89,0.0488,0.0014,0.0488,0.0014,expected,True
