exposure_family,exposure_variant,gate_eligible,window,alignment,mean_signed_corr,all_expected_direction,outcomes_used
pending_backlog_burden,pending_rate,True,core_aug_nov_2023,lead1,0.1399,True,2
ex_parte_renewal_relief,ex_parte_renewal_rate,True,core_aug_nov_2023,same,0.0862,True,2
ex_parte_renewal_relief,ex_parte_renewal_rate,True,core_aug_nov_2023,lead1,0.0854,True,2
manual_renewal_burden,renewal_form_rate,True,core_aug_nov_2023,lag1,0.0821,True,2
ex_parte_renewal_relief,ex_parte_renewal_rate,True,core_aug_nov_2023,lag1,0.066,True,2
ex_parte_renewal_relief,ex_parte_renewal_rate,True,core_aug_nov_2023,lag2,0.0413,True,2
procedural_termination_burden,procedural_term_share,True,core_aug_nov_2023,lag2,0.041,True,2
pending_backlog_burden,pending_rate,True,core_aug_nov_2023,same,0.0269,False,2
manual_renewal_burden,renewal_form_rate,True,core_aug_nov_2023,lag2,0.01,False,2
manual_renewal_burden,renewal_form_rate,True,core_aug_nov_2023,lead1,0.0057,False,2
procedural_termination_burden,procedural_term_share,True,core_aug_nov_2023,same,-0.0102,False,2
manual_renewal_burden,renewal_form_rate,True,core_aug_nov_2023,same,-0.0105,False,2
procedural_termination_burden,procedural_term_share,True,core_aug_nov_2023,lag1,-0.0136,False,2
pending_backlog_burden,pending_rate,True,core_aug_nov_2023,lag2,-0.0404,False,2
pending_backlog_burden,pending_rate,True,core_aug_nov_2023,lag1,-0.0491,False,2
procedural_termination_burden,procedural_term_share,True,core_aug_nov_2023,lead1,-0.1446,False,2
ex_parte_renewal_relief,ex_parte_renewal_rate,True,extended_mar_nov_2023,lag1,0.1037,True,2
ex_parte_renewal_relief,ex_parte_renewal_rate,True,extended_mar_nov_2023,lead1,0.0977,True,2
ex_parte_renewal_relief,ex_parte_renewal_rate,True,extended_mar_nov_2023,same,0.0958,True,2
procedural_termination_burden,procedural_term_share,True,extended_mar_nov_2023,lag2,0.0616,True,2
