feature_family,group_label,reference_year,rows,weight_sum,weighted_exit_rate,weighted_exit_to_uninsured_rate
age_band,age_0_17,2021,12901,114837242.2442137,0.0018819406522023953,0.0012204921029750882
age_band,age_18_25,2021,3387,30051951.9143503,0.003448206261102035,0.0010945832633251487
age_band,age_26_44,2021,6404,59113871.08804618,0.003389350186097281,0.0010029883397348603
age_band,age_45_64,2021,5759,45259297.2365987,0.0029851197264735363,0.0008704986378564641
age_band,age_65_plus,2021,4006,23435022.79256583,0.0015882797596001288,0.0
age_band,age_0_17,2022,11821,113769074.03752747,0.002444960212796026,0.0008197122738358428
age_band,age_18_25,2022,3359,33819226.9576486,0.004935927308381219,0.0008654742357048565
age_band,age_26_44,2022,5973,59351189.4037173,0.004800124549230288,0.0022105709674182642
age_band,age_45_64,2022,6003,49358613.4340396,0.0027266102227759765,0.0005957975298515838
age_band,age_65_plus,2022,4626,26003959.48050127,0.0015165437557526833,0.0
age_band,age_0_17,2023,10596,110181935.5682057,0.007387562003997708,0.0036832326956834274
age_band,age_18_25,2023,3062,33732559.132075496,0.014311859251595888,0.007663648363737238
age_band,age_26_44,2023,5462,56222866.61442938,0.007229533926348792,0.0029493337370802603
age_band,age_45_64,2023,5596,49311721.674977,0.005386424760528783,0.0020253954081120933
age_band,age_65_plus,2023,4344,27480461.384697698,0.0048438700892381075,0.0002947485379816196
female_group,female,2021,18170,150621209.37532175,0.002669611714620726,0.0011204277970340757
female_group,male,2021,14287,122076175.90045297,0.0023782319480694244,0.00084357820294007
female_group,female,2022,17990,155281622.87873843,0.002828410691261113,0.0010068861441607715
female_group,male,2022,13792,127020440.43469581,0.003659260234721552,0.0009981418515005295
female_group,female,2023,16145,151118141.03340876,0.007034040636682404,0.002659871795668377
female_group,male,2023,12915,125811403.3409765,0.008258163662796608,0.004261782648732025
foreign_born_group,foreign_born,2021,5275,39551729.95191218,0.0018631557012018208,0.0009742828840394879
foreign_born_group,us_born,2021,27182,233145655.32386255,0.0026538541952734053,0.0010002606183874756
foreign_born_group,foreign_born,2022,4960,41679196.140353404,0.004650584933713083,0.0012237011290824654
foreign_born_group,us_born,2022,26822,240622867.17308086,0.002951375385514268,0.0009647148480286637
foreign_born_group,foreign_born,2023,5198,45154668.5278471,0.007285314496759624,0.002732816209021643
foreign_born_group,us_born,2023,23862,231774875.8465382,0.007649562260391052,0.0035152055367439817
household_child_group,household_has_child,2021,20880,183057123.41816652,0.0022277177126357605,0.0010918038914041282
household_child_group,household_no_child,2021,11577,89640261.85760818,0.003175202799302649,0.0008018552122468987
household_child_group,household_has_child,2022,19250,181748253.46558827,0.0032738149979326084,0.0009631712360121488
household_child_group,household_no_child,2022,12532,100553809.847846,0.003072890936802421,0.0010748537757380183
household_child_group,household_has_child,2023,17329,176313177.0587034,0.00761356435850372,0.0036976946894595
household_child_group,household_no_child,2023,11731,100616367.31568187,0.007549175187700449,0.0028443030300448545
noncitizen_group,citizen,2021,30546,258885908.83631462,0.0026504685134645274,0.0010254877733409482
noncitizen_group,noncitizen,2021,1911,13811476.4394601,0.0004530041896986776,0.0004530041896986776
noncitizen_group,citizen,2022,29872,266486061.97015423,0.003177288954128973,0.0009979181706136799
noncitizen_group,noncitizen,2022,1910,15816001.343279999,0.003622775859420691,0.0010877622152776158
noncitizen_group,citizen,2023,26893,257791923.7646929,0.007637318733470933,0.0032854392666640995
noncitizen_group,noncitizen,2023,2167,19137620.609692402,0.006955055616046061,0.004764230089723022
pov_band,pov_1_2,2021,9545,78496168.48256628,0.001605201325944777,0.00052433828128619
pov_band,pov_2_4,2021,7961,68870227.8377621,0.003033568646467379,0.0006929352924912686
pov_band,pov_4_plus,2021,3694,31668167.45829148,0.005590698703844477,0.00083255583666231
pov_band,pov_lt_1,2021,11101,92134793.05985466,0.001958583726240853,0.001698536573463997
pov_band,pov_1_2,2022,9296,81037839.20467305,0.0023123744025530996,0.0010941576791004435
pov_band,pov_2_4,2022,7654,70737864.56493372,0.006827488146976303,0.002084162849324743
pov_band,pov_4_plus,2022,3665,35449396.9397009,0.0034297692688118786,0.0005257193039616556
pov_band,pov_lt_1,2022,11062,93689336.98982206,0.0011961450842797009,0.000303145451878749
pov_band,pov_1_2,2023,7849,74145743.25694245,0.007301899702476945,0.0019168391064836
pov_band,pov_2_4,2023,7748,74709121.66891068,0.012657673465655514,0.007246671734700558
pov_band,pov_4_plus,2023,3629,39423522.43343203,0.010479085510095439,0.0038713583254847018
pov_band,pov_lt_1,2023,9740,87806243.320887,0.002297916258181421,0.0011615941041670525
snap_group,snap_no,2021,20429,171586191.29102272,0.002813441477302942,0.0008415731656738222
snap_group,snap_yes,2021,11990,101111193.984752,0.002073735764254948,0.0012593922758285616
snap_group,snap_no,2022,19693,178798809.6639103,0.00424805029673646,0.0013339908618029428
snap_group,snap_yes,2022,12079,103503253.64952394,0.00139565383158237,0.00043109131691151643
snap_group,snap_no,2023,19206,185409548.13093418,0.010009676614889818,0.004412533936092377
snap_group,snap_yes,2023,9827,91519996.24345109,0.002688512854030048,0.0013112960953064676
state_baseline_tertile,low,2021,3936,32161873.208235897,0.0,0.0
state_baseline_tertile,mid,2021,13773,126159150.4415019,0.0012488607241410998,0.0005819198857623982
state_baseline_tertile,high,2021,14748,114376361.62603691,0.004676406829714548,0.0017339813022776943
state_baseline_tertile,low,2022,4519,35753579.6869175,0.0,0.0
state_baseline_tertile,mid,2022,13921,135250882.41689444,0.0023505276116304965,0.0009431193763602871
state_baseline_tertile,high,2022,13342,111297601.20962231,0.00526597257261578,0.0013978522676609984
state_baseline_tertile,low,2023,3820,33961732.6429669,0.00636574502088223,0.00411394119876077
state_baseline_tertile,mid,2023,12279,127586080.80668133,0.01014523990063355,0.0042049451559241354
state_baseline_tertile,high,2023,12961,115381730.92473707,0.005125240984230343,0.0022700880916585787
