year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
1997,34551,24780,"1,2,3,4",1,4,2.10262308313156,9771
1998,24072,17355,"1,2,3,4",1,4,2.11846730048977,6717
1999,24618,17821,"1,2,3,4",1,4,2.03613714157455,6797
2000,25096,18089,"1,2,3,4",1,4,2.04726629443308,7007
2001,33556,24469,"1,2,3,4",1,4,2.06608361600392,9087
2002,39165,28233,"1,2,3,4",1,4,2.133071228704,10932
2003,34215,24310,"1,2,3,4",1,4,2.1690250925545,9905
2004,34403,24553,"1,2,3,4",1,4,2.16160957927748,9850
2005,33961,24352,"1,2,3,4",1,4,2.16692674113009,9609
2006,34145,24630,"1,2,3,4",1,4,2.16386520503451,9515
2007,30964,22500,"1,2,3,4",1,4,2.14648888888889,8464
2008,33066,23780,"1,2,3,4",1,4,2.1228763666947,9286
2009,36855,26825,"1,2,3,4",1,4,2.20756756756757,10030
2010,32846,24066,"1,2,3,4",1,4,2.23057425413446,8780
2011,35313,25804,"1,2,3,4",1,4,2.2345760347233,9509
2012,38974,28519,"1,2,3,4",1,4,2.23324801009853,10455
2013,36940,26907,"1,2,3,4",1,4,2.20975954212658,10033
2014,34875,25549,"1,2,3,4",1,4,2.18118125954049,9326
2015,35427,26221,"1,2,3,4",1,4,2.17142748178941,9206
2016,34655,25890,"1,2,3,4",1,4,2.18930088837389,8765
2017,31880,24124,"1,2,3,4",1,4,2.21182225169955,7756
