year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
1997,34551,34551,"1,2",1,2,1.81294318543602,0
1998,24072,24072,"1,2",1,2,1.80587404453307,0
1999,24618,24618,"1,2",1,2,1.84121374603948,0
2000,25096,25096,"1,2",1,2,1.8365875039847,0
2001,33556,33556,"1,2",1,2,1.82447252354273,0
2002,39165,39165,"1,2",1,2,1.78613558023746,0
2003,34215,34215,"1,2",1,2,1.74823907642847,0
2004,34403,34403,"1,2",1,2,1.74426648838764,0
2005,33961,33961,"1,2",1,2,1.74055534289332,0
2006,34145,34145,"1,2",1,2,1.7414555571826,0
2007,30964,30964,"1,2",1,2,1.75429531068337,0
2008,33066,33066,"1,2",1,2,1.75170870380451,0
2009,36855,36855,"1,2",1,2,1.74576041242708,0
2010,32846,32846,"1,2",1,2,1.74082080009742,0
2011,35313,35313,"1,2",1,2,1.72508707841305,0
2012,38974,38974,"1,2",1,2,1.71647765176785,0
2013,36940,36940,"1,2",1,2,1.69312398484028,0
2014,34875,34875,"1,2",1,2,1.6765017921147,0
2015,35427,35427,"1,2",1,2,1.67239675953369,0
2016,34655,34655,"1,2",1,2,1.67150483335738,0
2017,31880,31880,"1,2",1,2,1.6857590966123,0
