year,n_valid,mean,median,sd,p25,p75,p95,max,zeros_pct
1996,22601,4.28808459802664,2,9.45487485159859,0,5,17,401,31.0207512941905
1997,34551,4.20861914271656,2,9.37367109457498,0,5,17,390,32.7110648027553
1998,24072,4.27712695247591,2,9.37503778087751,0,5,17,308,32.868062479229
1999,24618,4.01868551466407,1,8.35151437558307,0,4,16,296,32.4559265578032
2000,25096,4.04008606949315,1,8.35854168524441,0,4,16,342,32.6785145043035
2001,33556,4.34324710930981,2,8.78464421967721,0,5,17,325,30.8737632614138
2002,39165,4.53693348653134,2,9.37210354359028,0,5,18,296,30.9204647006256
2003,34215,4.4825368990209,2,9.16084411712406,0,5,18,221,31.6469384772761
2004,34403,4.53756939801762,2,9.52030101282089,0,5,19,215,32.7035432956428
2005,33961,4.46641736109066,2,9.6853926128367,0,5,18,338,32.7552192220488
2006,34145,4.5210133255235,2,9.5116942847814,0,5,18,329,32.0984038658662
2007,30964,4.38715928174655,2,9.15329783756554,0,5,18,261,32.2987986048314
2008,33066,4.1005262202867,1,8.65654599847619,0,4,17,285,33.3030907881207
2009,36855,4.17088590421924,1,8.99781357126282,0,4,17,261,33.1026997693664
2010,32846,3.8867746453145,1,8.75051252641731,0,4,16,238,35.5598855263959
2011,35313,3.78843485401977,1,8.5881256153892,0,4,16,210,35.9046243593011
2012,38974,3.69759326730641,1,8.50464837971077,0,4,15,207,36.8502078308616
2013,36940,4.45454791553871,1,9.98259223627634,0,5,18,277,33.1970763400108
2014,34875,4.72324014336918,2,10.9550541218278,0,5,20,391,32.4616487455197
2015,35427,4.82897225280154,2,11.1584978498045,0,5,20,367,32.1929601716205
2016,34655,4.72601356225653,2,10.2581042947395,0,5,20,269,32.5292165632665
2017,31880,5.32314930991217,2,11.5774558021644,0,5,23,305,29.9843161856964
2020,27805,5.84909188994785,2,12.912711707299,0,6,25,294,30.5988131631002
2021,28336,7.13936335403727,3,13.9692655331149,1,8,28,418,24.6612083568605
