outcome,era,n,rf_coef,rf_se,rf_pval,frd_coef,frd_se,frd_pval
TOTSLF,all,92804,-153.764709222067,38.627454401252,6.87096194030498e-05,-289.136686799699,72.8414386844515,7.20543356259057e-05
log_totslf,all,92804,-0.108581388791631,0.0489337365936048,0.0264903015691838,-0.204174697576294,0.092265671806602,0.0269045463607891
TOTEXP,all,92804,-372.629606523802,334.718129238357,0.265595110283344,-700.686720502093,630.146114623098,0.266162550081508
cat_oop10,all,66737,-0.00534603301358297,0.0062479626936866,0.392194616031804,-0.0101304326116335,0.0118477585695213,0.392523157523948
cat_oop05,all,66737,-0.032017629748972,0.0084844676196416,0.00016085980242868,-0.0606716119657499,0.016166325216801,0.00017475702010355
y_dlayca42,all,91193,0.00121568413889377,0.00424878596717453,0.774782338603098,0.00227377437267367,0.00794622436045688,0.774766873708183
y_afrdca42,all,91207,-0.00703293919860627,0.00347612773280544,0.0430514178580189,-0.0131483851094669,0.00650410313321418,0.0432226167897776
y_dlaypm42,all,91158,0.000816505173979548,0.00430513817036077,0.849576901725432,0.00152540707214746,0.00804221578824447,0.849563832488715
y_afrdpm42,all,91174,-0.00488804766213751,0.00350427938885997,0.163052164436643,-0.00913383347602716,0.00655262432886659,0.163341792998862
OBTOTV,all,92804,0.348849742829895,0.273094832953048,0.201463127989657,0.655971447174485,0.512725017398146,0.200762370939104
ERTOT,all,92804,0.00536945457062316,0.0129935033753897,0.679429699931154,0.0100966360377878,0.0244242521691183,0.679324066203855
IPDIS,all,92804,0.00391927457912356,0.0110345729532839,0.722453731462604,0.00736974089958117,0.0207441340259164,0.722388324468743
RXTOT,all,92804,-0.458109200412949,0.613576291865712,0.45529211680139,-0.861421174403332,1.15566884284099,0.456037464402097
y_haveus,all,89616,0.0110744956946611,0.00666575841816506,0.0966329975343938,0.0205679043370038,0.0123630964084937,0.0961817629619962
TOTSLF,pre_aca,66757,,,,-256.98963262617,84.6683351883804,0.00240335737261332
log_totslf,pre_aca,66757,,,,-0.105683128882797,0.106107321570767,0.319249061771592
TOTEXP,pre_aca,66757,,,,-456.161248009793,644.847820157889,0.479321886957098
cat_oop10,pre_aca,40690,,,,0.00198729925194531,0.0153793074718834,0.897184335684455
cat_oop05,pre_aca,40690,,,,-0.0513547418696327,0.0211428530994303,0.0151429981032281
y_dlayca42,pre_aca,65589,,,,-0.00939768121539449,0.00897614475810882,0.29511716900042
y_afrdca42,pre_aca,65597,,,,-0.011380797980253,0.00775157638464924,0.142052232790732
y_dlaypm42,pre_aca,65561,,,,-0.00256241551901935,0.00928757094034063,0.782626966520924
y_afrdpm42,pre_aca,65571,,,,-0.0151944722876804,0.00767291994838938,0.0476729183129141
OBTOTV,pre_aca,66757,,,,1.15676661983821,0.587189558274712,0.048837747932786
ERTOT,pre_aca,66757,,,,0.0550086381082204,0.0275635512057928,0.0459663540912756
IPDIS,pre_aca,66757,,,,-0.00405887180923801,0.0249709336726035,0.870877596534014
RXTOT,pre_aca,66757,,,,0.757949865506364,1.31489579200452,0.564322267159247
y_haveus,pre_aca,64544,,,,0.0192448365889596,0.0143757425067543,0.180667674496342
TOTSLF,post_aca,26047,,,,-375.250863074334,142.224743121947,0.0083289453452184
log_totslf,post_aca,26047,,,,-0.475781503461135,0.182866205838678,0.00927356070965921
TOTEXP,post_aca,26047,,,,-1258.33760210062,1515.02915083106,0.406216647757054
cat_oop10,post_aca,26047,,,,-0.0299941556226462,0.0184757846189734,0.104497370284724
cat_oop05,post_aca,26047,,,,-0.0762925745417938,0.0248629189036814,0.00215115829108278
y_dlayca42,post_aca,25604,,,,0.0322970676242586,0.0164808531626269,0.0500341317530028
y_afrdca42,post_aca,25610,,,,-0.0174551124470295,0.0119383774158887,0.143713560266334
y_dlaypm42,post_aca,25597,,,,0.0122479803329435,0.0159226187636476,0.441763333470309
y_afrdpm42,post_aca,25603,,,,0.00644360108227967,0.0125164118808728,0.606684284625422
OBTOTV,post_aca,26047,,,,-0.573144482982359,1.03764391161861,0.580707346718499
ERTOT,post_aca,26047,,,,-0.10424482496181,0.0510683229189617,0.0412228506510142
IPDIS,post_aca,26047,,,,0.0355824364628628,0.0368748394806556,0.334569039547161
RXTOT,post_aca,26047,,,,-5.10675724074286,2.37293239211297,0.0313904932894387
y_haveus,post_aca,25072,,,,0.0235299817262061,0.0240925174282774,0.328741951280399
