TEHC_ST,MONTHCODE,n_lag_medicaid,medicaid_exit_rate,exit_to_uninsured_rate,valid_cell_30,valid_cell_50
1,2,137,0.0,0.0,True,True
1,3,137,0.0,0.0,True,True
1,4,137,0.0,0.0,True,True
1,5,137,0.0,0.0,True,True
1,6,138,0.0,0.0,True,True
1,7,139,0.02158273381294964,0.0,True,True
1,8,136,0.0,0.0,True,True
1,9,135,0.0,0.0,True,True
1,10,134,0.007462686567164179,0.007462686567164179,True,True
1,11,133,0.0,0.0,True,True
1,12,133,0.0,0.0,True,True
2,2,30,0.0,0.0,True,False
2,3,30,0.0,0.0,True,False
2,4,30,0.0,0.0,True,False
2,5,32,0.0,0.0,True,False
2,6,32,0.0,0.0,True,False
2,7,32,0.125,0.0625,True,False
2,8,27,0.0,0.0,False,False
2,9,28,0.0,0.0,False,False
2,10,27,0.0,0.0,False,False
2,11,27,0.0,0.0,False,False
2,12,28,0.0,0.0,False,False
4,2,140,0.007142857142857143,0.0,True,True
4,3,143,0.0,0.0,True,True
4,4,143,0.0,0.0,True,True
4,5,143,0.0,0.0,True,True
4,6,143,0.0,0.0,True,True
4,7,143,0.03496503496503497,0.02097902097902098,True,True
4,8,136,0.007352941176470588,0.0,True,True
4,9,134,0.0,0.0,True,True
4,10,134,0.0,0.0,True,True
4,11,134,0.007462686567164179,0.007462686567164179,True,True
4,12,132,0.007575757575757576,0.0,True,True
5,2,90,0.0,0.0,True,True
5,3,90,0.0,0.0,True,True
5,4,87,0.011494252873563218,0.0,True,True
5,5,88,0.0,0.0,True,True
5,6,87,0.022988505747126436,0.0,True,True
5,7,84,0.09523809523809523,0.08333333333333333,True,True
5,8,75,0.013333333333333334,0.0,True,True
5,9,71,0.0,0.0,True,True
5,10,71,0.028169014084507043,0.014084507042253521,True,True
5,11,70,0.0,0.0,True,True
5,12,71,0.0,0.0,True,True
6,2,1467,0.013633265167007498,0.00408997955010225,True,True
6,3,1443,0.002079002079002079,0.001386001386001386,True,True
6,4,1441,0.007633587786259542,0.006245662734212352,True,True
6,5,1430,0.004195804195804196,0.0034965034965034965,True,True
6,6,1428,0.004901960784313725,0.0014005602240896359,True,True
6,7,1419,0.0035236081747709656,0.0021141649048625794,True,True
6,8,1418,0.0,0.0,True,True
6,9,1427,0.001401541695865452,0.000700770847932726,True,True
6,10,1431,0.005590496156533892,0.0041928721174004195,True,True
