state,platform_2022,platform_2023,platform_2024,continuous_hcgov_2022_2024,included_primary_sample,reason_included_or_excluded,source_or_rule_used,notes
AK,HC.gov,HC.gov,HC.gov,True,False,Excluded by Drake-style AK/HI rule.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
AL,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
AR,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
AZ,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
CA,SBM,SBM,SBM,False,False,Excluded because state is not continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
CO,SBM,SBM,SBM,False,False,Excluded because state is not continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
CT,SBM,SBM,SBM,False,False,Excluded because state is not continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
DC,SBM,SBM,SBM,False,False,Excluded because state is not continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
DE,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
FL,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
GA,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
HI,HC.gov,HC.gov,HC.gov,True,False,Excluded by Drake-style AK/HI rule.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
IA,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
ID,SBM,SBM,SBM,False,False,Excluded because state is not continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
IL,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
IN,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
KS,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
KY,SBM,SBM,SBM,False,False,Excluded because state is not continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
LA,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
MA,SBM,SBM,SBM,False,False,Excluded because state is not continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
MD,SBM,SBM,SBM,False,False,Excluded because state is not continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
ME,SBM,SBM,SBM,False,False,Excluded because state is not continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
MI,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
MN,SBM,SBM,SBM,False,False,Excluded because state is not continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
MO,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
MS,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
MT,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
NC,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
ND,HC.gov,HC.gov,HC.gov,True,True,Included: continuously HC.gov in state-level OEP PUF for 2022-2024.,"CMS OEP State-Level PUF Pltfrm column, 2022-2024.",Platform status inferred from official OEP state-level PUF structure; no external platform list used.
