variable,source,year,notes
year,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
State_Abrvtn,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
County_FIPS_Cd,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Cnsmr,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
New_Cnsmr,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Tot_Renrl,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Auto_Renrl,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Actv_Renrl,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Actv_Renrl_Nsw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Actv_Renrl_Sw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Avg_Prm,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Avg_Prm_Aftr_APTC,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
APTC_Cnsmr_Avg_APTC,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
APTC_Cnsmr,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_LT100,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_100_138,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_100_150,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_150_200,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_200_250,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_250_300,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_300_400,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_GT400,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_OTHR,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
state,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
county_fips,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
county_name,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Cnsmr_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Cnsmr_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
New_Cnsmr_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
New_Cnsmr_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Tot_Renrl_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Tot_Renrl_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Auto_Renrl_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Auto_Renrl_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Actv_Renrl_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Actv_Renrl_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Actv_Renrl_Nsw_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Actv_Renrl_Nsw_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Actv_Renrl_Sw_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Actv_Renrl_Sw_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Avg_Prm_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Avg_Prm_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Avg_Prm_Aftr_APTC_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
Avg_Prm_Aftr_APTC_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
APTC_Cnsmr_Avg_APTC_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
APTC_Cnsmr_Avg_APTC_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
APTC_Cnsmr_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
APTC_Cnsmr_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_LT100_raw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
FPL_LT100_suppressed_flag,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
