transition,rank,metric,numerator,denominator,rate
2021_to_2022,lowest,previous_top_two_rows,2588,2588,1.0
2021_to_2022,lowest,previous_plan_to_crosswalk,2418,2588,0.9343122102009274
2021_to_2022,lowest,crosswalk_to_current_plan,2418,2588,0.9343122102009274
2021_to_2022,second_lowest,previous_top_two_rows,2588,2588,1.0
2021_to_2022,second_lowest,previous_plan_to_crosswalk,2418,2588,0.9343122102009274
2021_to_2022,second_lowest,crosswalk_to_current_plan,2418,2588,0.9343122102009274
2022_to_2023,lowest,previous_top_two_rows,2449,2449,1.0
2022_to_2023,lowest,previous_plan_to_crosswalk,2449,2449,1.0
2022_to_2023,lowest,crosswalk_to_current_plan,2449,2449,1.0
2022_to_2023,second_lowest,previous_top_two_rows,2449,2449,1.0
2022_to_2023,second_lowest,previous_plan_to_crosswalk,2449,2449,1.0
2022_to_2023,second_lowest,crosswalk_to_current_plan,2449,2449,1.0
2023_to_2024,lowest,previous_top_two_rows,2449,2449,1.0
2023_to_2024,lowest,previous_plan_to_crosswalk,2421,2449,0.9885667619436505
2023_to_2024,lowest,crosswalk_to_current_plan,2288,2449,0.9342588811759902
2023_to_2024,second_lowest,previous_top_two_rows,2449,2449,1.0
2023_to_2024,second_lowest,previous_plan_to_crosswalk,2423,2449,0.9893834218048183
2023_to_2024,second_lowest,crosswalk_to_current_plan,2290,2449,0.9350755410371581
2021_to_2022,all,crosswalk_rows,30722,30722,1.0
2021_to_2022,all,mapped_rows,30722,30722,1.0
2021_to_2022,all,across_issuer_rows,1170,30722,0.03808345810819608
2022_to_2023,all,crosswalk_rows,43514,43514,1.0
2022_to_2023,all,mapped_rows,43514,43514,1.0
2022_to_2023,all,across_issuer_rows,2595,43514,0.059635979225076984
2023_to_2024,all,crosswalk_rows,47555,47555,1.0
2023_to_2024,all,mapped_rows,45937,47555,0.965976238040164
2023_to_2024,all,across_issuer_rows,2699,47555,0.056755335926821575
