year,state,county_years,treated_share,constructible_share,across_issuer_treated_share,within_issuer_treated_share
2022,AK,30,0.0,0.0,0.0,0.0
2022,AL,67,0.208955223880597,1.0,0.0,0.208955223880597
2022,AR,75,1.0,1.0,0.0,1.0
2022,AZ,15,0.6,1.0,0.0,0.6
2022,DE,3,0.0,1.0,0.0,0.0
2022,FL,67,0.9850746268656716,1.0,0.014925373134328358,0.9701492537313433
2022,GA,159,0.9622641509433962,1.0,0.0,0.9622641509433962
2022,HI,4,0.0,1.0,0.0,0.0
2022,IA,99,0.9393939393939394,1.0,0.0,0.9393939393939394
2022,IL,102,0.0,1.0,0.0,0.0
2022,IN,92,1.0,1.0,0.0,1.0
2022,KS,105,1.0,1.0,0.8285714285714286,0.19047619047619047
2022,LA,64,0.4375,1.0,0.0,0.4375
2022,MI,83,0.40963855421686746,1.0,0.0,0.40963855421686746
2022,MO,115,0.7739130434782608,1.0,0.0,0.7739130434782608
2022,MS,82,1.0,1.0,0.0,1.0
2022,MT,56,0.875,1.0,0.0,0.875
2022,NC,100,1.0,1.0,0.0,1.0
2022,ND,53,0.6981132075471698,1.0,0.0,0.6981132075471698
2022,NE,93,1.0,1.0,0.0,1.0
2022,NH,10,1.0,1.0,0.0,1.0
2022,OH,88,0.8636363636363636,1.0,0.0,0.8636363636363636
2022,OK,77,0.8051948051948052,1.0,0.0,0.8051948051948052
2022,OR,36,0.0,1.0,0.0,0.0
2022,SC,46,1.0,1.0,0.0,1.0
2022,SD,66,0.9848484848484849,0.9848484848484849,0.0,0.9848484848484849
2022,TN,95,0.9157894736842105,1.0,0.0,0.9157894736842105
2022,TX,254,0.7598425196850394,1.0,0.0,0.7598425196850394
2022,UT,29,0.3448275862068966,1.0,0.0,0.3448275862068966
2022,VA,133,0.49624060150375937,1.0,0.0,0.49624060150375937
2022,WI,72,0.75,1.0,0.0,0.75
2022,WV,55,0.0,1.0,0.0,0.0
2022,WY,23,1.0,1.0,0.0,1.0
2023,AK,30,0.0,1.0,0.0,0.0
2023,AL,67,0.9104477611940298,1.0,0.0,0.9104477611940298
2023,AR,75,0.0,1.0,0.0,0.0
2023,AZ,15,0.5333333333333333,1.0,0.0,0.5333333333333333
2023,DE,3,1.0,1.0,0.0,1.0
2023,FL,67,0.746268656716418,1.0,0.0,0.746268656716418
