transition,year,state,issuer_concept,county_years,across_county_years,across_share,affected_plan_pair_rows
2021_to_2022,2022,ALL,plan_panel_preferred,2588,88,0.03400309119010819,174
2021_to_2022,2022,AL,plan_panel_preferred,67,0,0.0,0
2021_to_2022,2022,AR,plan_panel_preferred,75,0,0.0,0
2021_to_2022,2022,AZ,plan_panel_preferred,15,0,0.0,0
2021_to_2022,2022,DE,plan_panel_preferred,3,0,0.0,0
2021_to_2022,2022,FL,plan_panel_preferred,67,1,0.014925373134328358,2
2021_to_2022,2022,GA,plan_panel_preferred,159,0,0.0,0
2021_to_2022,2022,HI,plan_panel_preferred,5,0,0.0,0
2021_to_2022,2022,IA,plan_panel_preferred,99,0,0.0,0
2021_to_2022,2022,IL,plan_panel_preferred,102,0,0.0,0
2021_to_2022,2022,IN,plan_panel_preferred,92,0,0.0,0
2021_to_2022,2022,KS,plan_panel_preferred,105,87,0.8285714285714286,172
2021_to_2022,2022,KY,plan_panel_preferred,120,0,0.0,0
2021_to_2022,2022,LA,plan_panel_preferred,64,0,0.0,0
2021_to_2022,2022,ME,plan_panel_preferred,16,0,0.0,0
2021_to_2022,2022,MI,plan_panel_preferred,83,0,0.0,0
2021_to_2022,2022,MO,plan_panel_preferred,115,0,0.0,0
2021_to_2022,2022,MS,plan_panel_preferred,82,0,0.0,0
2021_to_2022,2022,MT,plan_panel_preferred,56,0,0.0,0
2021_to_2022,2022,NC,plan_panel_preferred,100,0,0.0,0
2021_to_2022,2022,ND,plan_panel_preferred,53,0,0.0,0
2021_to_2022,2022,NE,plan_panel_preferred,93,0,0.0,0
2021_to_2022,2022,NH,plan_panel_preferred,10,0,0.0,0
2021_to_2022,2022,NM,plan_panel_preferred,33,0,0.0,0
2021_to_2022,2022,OH,plan_panel_preferred,88,0,0.0,0
2021_to_2022,2022,OK,plan_panel_preferred,77,0,0.0,0
2021_to_2022,2022,OR,plan_panel_preferred,36,0,0.0,0
2021_to_2022,2022,SC,plan_panel_preferred,46,0,0.0,0
2021_to_2022,2022,SD,plan_panel_preferred,66,0,0.0,0
2021_to_2022,2022,TN,plan_panel_preferred,95,0,0.0,0
2021_to_2022,2022,TX,plan_panel_preferred,254,0,0.0,0
2021_to_2022,2022,UT,plan_panel_preferred,29,0,0.0,0
2021_to_2022,2022,VA,plan_panel_preferred,133,0,0.0,0
2021_to_2022,2022,WI,plan_panel_preferred,72,0,0.0,0
2021_to_2022,2022,WV,plan_panel_preferred,55,0,0.0,0
2021_to_2022,2022,WY,plan_panel_preferred,23,0,0.0,0
2021_to_2022,2022,ALL,crosswalk_issuer_only,2588,88,0.03400309119010819,174
2021_to_2022,2022,AL,crosswalk_issuer_only,67,0,0.0,0
2021_to_2022,2022,AR,crosswalk_issuer_only,75,0,0.0,0
2021_to_2022,2022,AZ,crosswalk_issuer_only,15,0,0.0,0
2021_to_2022,2022,DE,crosswalk_issuer_only,3,0,0.0,0
2021_to_2022,2022,FL,crosswalk_issuer_only,67,1,0.014925373134328358,2
2021_to_2022,2022,GA,crosswalk_issuer_only,159,0,0.0,0
2021_to_2022,2022,HI,crosswalk_issuer_only,5,0,0.0,0
2021_to_2022,2022,IA,crosswalk_issuer_only,99,0,0.0,0
2021_to_2022,2022,IL,crosswalk_issuer_only,102,0,0.0,0
2021_to_2022,2022,IN,crosswalk_issuer_only,92,0,0.0,0
2021_to_2022,2022,KS,crosswalk_issuer_only,105,87,0.8285714285714286,172
2021_to_2022,2022,KY,crosswalk_issuer_only,120,0,0.0,0
2021_to_2022,2022,LA,crosswalk_issuer_only,64,0,0.0,0
2021_to_2022,2022,ME,crosswalk_issuer_only,16,0,0.0,0
2021_to_2022,2022,MI,crosswalk_issuer_only,83,0,0.0,0
2021_to_2022,2022,MO,crosswalk_issuer_only,115,0,0.0,0
2021_to_2022,2022,MS,crosswalk_issuer_only,82,0,0.0,0
2021_to_2022,2022,MT,crosswalk_issuer_only,56,0,0.0,0
2021_to_2022,2022,NC,crosswalk_issuer_only,100,0,0.0,0
2021_to_2022,2022,ND,crosswalk_issuer_only,53,0,0.0,0
2021_to_2022,2022,NE,crosswalk_issuer_only,93,0,0.0,0
2021_to_2022,2022,NH,crosswalk_issuer_only,10,0,0.0,0
2021_to_2022,2022,NM,crosswalk_issuer_only,33,0,0.0,0
2021_to_2022,2022,OH,crosswalk_issuer_only,88,0,0.0,0
2021_to_2022,2022,OK,crosswalk_issuer_only,77,0,0.0,0
2021_to_2022,2022,OR,crosswalk_issuer_only,36,0,0.0,0
2021_to_2022,2022,SC,crosswalk_issuer_only,46,0,0.0,0
2021_to_2022,2022,SD,crosswalk_issuer_only,66,0,0.0,0
2021_to_2022,2022,TN,crosswalk_issuer_only,95,0,0.0,0
2021_to_2022,2022,TX,crosswalk_issuer_only,254,0,0.0,0
2021_to_2022,2022,UT,crosswalk_issuer_only,29,0,0.0,0
2021_to_2022,2022,VA,crosswalk_issuer_only,133,0,0.0,0
2021_to_2022,2022,WI,crosswalk_issuer_only,72,0,0.0,0
2021_to_2022,2022,WV,crosswalk_issuer_only,55,0,0.0,0
2021_to_2022,2022,WY,crosswalk_issuer_only,23,0,0.0,0
2021_to_2022,2022,ALL,plan_panel_issuer_only,2588,88,0.03400309119010819,174
2021_to_2022,2022,AL,plan_panel_issuer_only,67,0,0.0,0
2021_to_2022,2022,AR,plan_panel_issuer_only,75,0,0.0,0
2021_to_2022,2022,AZ,plan_panel_issuer_only,15,0,0.0,0
2021_to_2022,2022,DE,plan_panel_issuer_only,3,0,0.0,0
2021_to_2022,2022,FL,plan_panel_issuer_only,67,1,0.014925373134328358,2
2021_to_2022,2022,GA,plan_panel_issuer_only,159,0,0.0,0
2021_to_2022,2022,HI,plan_panel_issuer_only,5,0,0.0,0
2021_to_2022,2022,IA,plan_panel_issuer_only,99,0,0.0,0
2021_to_2022,2022,IL,plan_panel_issuer_only,102,0,0.0,0
2021_to_2022,2022,IN,plan_panel_issuer_only,92,0,0.0,0
2021_to_2022,2022,KS,plan_panel_issuer_only,105,87,0.8285714285714286,172
2021_to_2022,2022,KY,plan_panel_issuer_only,120,0,0.0,0
2021_to_2022,2022,LA,plan_panel_issuer_only,64,0,0.0,0
2021_to_2022,2022,ME,plan_panel_issuer_only,16,0,0.0,0
2021_to_2022,2022,MI,plan_panel_issuer_only,83,0,0.0,0
2021_to_2022,2022,MO,plan_panel_issuer_only,115,0,0.0,0
2021_to_2022,2022,MS,plan_panel_issuer_only,82,0,0.0,0
2021_to_2022,2022,MT,plan_panel_issuer_only,56,0,0.0,0
2021_to_2022,2022,NC,plan_panel_issuer_only,100,0,0.0,0
2021_to_2022,2022,ND,plan_panel_issuer_only,53,0,0.0,0
2021_to_2022,2022,NE,plan_panel_issuer_only,93,0,0.0,0
2021_to_2022,2022,NH,plan_panel_issuer_only,10,0,0.0,0
2021_to_2022,2022,NM,plan_panel_issuer_only,33,0,0.0,0
2021_to_2022,2022,OH,plan_panel_issuer_only,88,0,0.0,0
2021_to_2022,2022,OK,plan_panel_issuer_only,77,0,0.0,0
2021_to_2022,2022,OR,plan_panel_issuer_only,36,0,0.0,0
2021_to_2022,2022,SC,plan_panel_issuer_only,46,0,0.0,0
2021_to_2022,2022,SD,plan_panel_issuer_only,66,0,0.0,0
2021_to_2022,2022,TN,plan_panel_issuer_only,95,0,0.0,0
2021_to_2022,2022,TX,plan_panel_issuer_only,254,0,0.0,0
2021_to_2022,2022,UT,plan_panel_issuer_only,29,0,0.0,0
2021_to_2022,2022,VA,plan_panel_issuer_only,133,0,0.0,0
2021_to_2022,2022,WI,plan_panel_issuer_only,72,0,0.0,0
2021_to_2022,2022,WV,plan_panel_issuer_only,55,0,0.0,0
2021_to_2022,2022,WY,plan_panel_issuer_only,23,0,0.0,0
2021_to_2022,2022,ALL,plan_id_prefix,2588,88,0.03400309119010819,174
2021_to_2022,2022,AL,plan_id_prefix,67,0,0.0,0
2021_to_2022,2022,AR,plan_id_prefix,75,0,0.0,0
2021_to_2022,2022,AZ,plan_id_prefix,15,0,0.0,0
2021_to_2022,2022,DE,plan_id_prefix,3,0,0.0,0
2021_to_2022,2022,FL,plan_id_prefix,67,1,0.014925373134328358,2
2021_to_2022,2022,GA,plan_id_prefix,159,0,0.0,0
2021_to_2022,2022,HI,plan_id_prefix,5,0,0.0,0
2021_to_2022,2022,IA,plan_id_prefix,99,0,0.0,0
2021_to_2022,2022,IL,plan_id_prefix,102,0,0.0,0
2021_to_2022,2022,IN,plan_id_prefix,92,0,0.0,0
2021_to_2022,2022,KS,plan_id_prefix,105,87,0.8285714285714286,172
2021_to_2022,2022,KY,plan_id_prefix,120,0,0.0,0
2021_to_2022,2022,LA,plan_id_prefix,64,0,0.0,0
2021_to_2022,2022,ME,plan_id_prefix,16,0,0.0,0
2021_to_2022,2022,MI,plan_id_prefix,83,0,0.0,0
2021_to_2022,2022,MO,plan_id_prefix,115,0,0.0,0
2021_to_2022,2022,MS,plan_id_prefix,82,0,0.0,0
2021_to_2022,2022,MT,plan_id_prefix,56,0,0.0,0
2021_to_2022,2022,NC,plan_id_prefix,100,0,0.0,0
2021_to_2022,2022,ND,plan_id_prefix,53,0,0.0,0
2021_to_2022,2022,NE,plan_id_prefix,93,0,0.0,0
2021_to_2022,2022,NH,plan_id_prefix,10,0,0.0,0
2021_to_2022,2022,NM,plan_id_prefix,33,0,0.0,0
2021_to_2022,2022,OH,plan_id_prefix,88,0,0.0,0
2021_to_2022,2022,OK,plan_id_prefix,77,0,0.0,0
2021_to_2022,2022,OR,plan_id_prefix,36,0,0.0,0
2021_to_2022,2022,SC,plan_id_prefix,46,0,0.0,0
2021_to_2022,2022,SD,plan_id_prefix,66,0,0.0,0
2021_to_2022,2022,TN,plan_id_prefix,95,0,0.0,0
2021_to_2022,2022,TX,plan_id_prefix,254,0,0.0,0
2021_to_2022,2022,UT,plan_id_prefix,29,0,0.0,0
2021_to_2022,2022,VA,plan_id_prefix,133,0,0.0,0
2021_to_2022,2022,WI,plan_id_prefix,72,0,0.0,0
2021_to_2022,2022,WV,plan_id_prefix,55,0,0.0,0
2021_to_2022,2022,WY,plan_id_prefix,23,0,0.0,0
