county_fips,rank,previous_plan_id,previous_issuer_id,prior_plan_marketing_name,all_candidate_current_plan_ids,all_candidate_current_issuer_ids,all_candidate_zip_codes,all_candidate_crosswalk_levels,all_candidate_reasons,current_repo_selected_plan,selected_plan__current_repo_rule,selected_issuer__current_repo_rule,across_issuer__current_repo_rule,zero_to_positive__current_repo_rule,same_issuer__current_repo_rule,differs_from_current_repo__current_repo_rule,selected_plan__no_same_issuer_priority,selected_issuer__no_same_issuer_priority,across_issuer__no_same_issuer_priority,zero_to_positive__no_same_issuer_priority,same_issuer__no_same_issuer_priority,differs_from_current_repo__no_same_issuer_priority,selected_plan__source_order_first_valid,selected_issuer__source_order_first_valid,across_issuer__source_order_first_valid,zero_to_positive__source_order_first_valid,same_issuer__source_order_first_valid,differs_from_current_repo__source_order_first_valid,selected_plan__lowest_crosswalk_level,selected_issuer__lowest_crosswalk_level,across_issuer__lowest_crosswalk_level,zero_to_positive__lowest_crosswalk_level,same_issuer__lowest_crosswalk_level,differs_from_current_repo__lowest_crosswalk_level,selected_plan__same_plan_if_available_else_source_order,selected_issuer__same_plan_if_available_else_source_order,across_issuer__same_plan_if_available_else_source_order,zero_to_positive__same_plan_if_available_else_source_order,same_issuer__same_plan_if_available_else_source_order,differs_from_current_repo__same_plan_if_available_else_source_order,selected_plan__same_plan_if_available_else_lowest_level,selected_issuer__same_plan_if_available_else_lowest_level,across_issuer__same_plan_if_available_else_lowest_level,zero_to_positive__same_plan_if_available_else_lowest_level,same_issuer__same_plan_if_available_else_lowest_level,differs_from_current_repo__same_plan_if_available_else_lowest_level,selected_plan__whole_county_00000_only,selected_issuer__whole_county_00000_only,across_issuer__whole_county_00000_only,zero_to_positive__whole_county_00000_only,same_issuer__whole_county_00000_only,differs_from_current_repo__whole_county_00000_only,selected_plan__county_any_zip_turnover,selected_issuer__county_any_zip_turnover,across_issuer__county_any_zip_turnover,zero_to_positive__county_any_zip_turnover,same_issuer__county_any_zip_turnover,differs_from_current_repo__county_any_zip_turnover,selected_plan__county_any_zip_across_turnover,selected_issuer__county_any_zip_across_turnover,across_issuer__county_any_zip_across_turnover,zero_to_positive__county_any_zip_across_turnover,same_issuer__county_any_zip_across_turnover,differs_from_current_repo__county_any_zip_across_turnover,selected_plan__reason8_priority,selected_issuer__reason8_priority,across_issuer__reason8_priority,zero_to_positive__reason8_priority,same_issuer__reason8_priority,differs_from_current_repo__reason8_priority,selected_plan__exclude_level4_5,selected_issuer__exclude_level4_5,across_issuer__exclude_level4_5,zero_to_positive__exclude_level4_5,same_issuer__exclude_level4_5,differs_from_current_repo__exclude_level4_5,selected_plan__include_level4_5_as_missing_current,selected_issuer__include_level4_5_as_missing_current,across_issuer__include_level4_5_as_missing_current,zero_to_positive__include_level4_5_as_missing_current,same_issuer__include_level4_5_as_missing_current,differs_from_current_repo__include_level4_5_as_missing_current
20001,lowest,80065KS0010012,80065,Ambetter Balanced Care 12 (2021),34368KS0110012,34368,00000,1,6,34368KS0110012,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False
20001,second_lowest,80065KS0010009,80065,Ambetter Balanced Care 11 (2021),34368KS0110009,34368,00000,1,6,34368KS0110009,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False
20003,lowest,80065KS0010012,80065,Ambetter Balanced Care 12 (2021),34368KS0110012,34368,00000,1,6,34368KS0110012,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False
20003,second_lowest,80065KS0010009,80065,Ambetter Balanced Care 11 (2021),34368KS0110009,34368,00000,1,6,34368KS0110009,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False
20005,lowest,80065KS0010012,80065,Ambetter Balanced Care 12 (2021),34368KS0110012,34368,00000,1,6,34368KS0110012,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False
20005,second_lowest,80065KS0010009,80065,Ambetter Balanced Care 11 (2021),34368KS0110009,34368,00000,1,6,34368KS0110009,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False
20007,lowest,80065KS0010012,80065,Ambetter Balanced Care 12 (2021),34368KS0110012,34368,00000,1,6,34368KS0110012,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False
20007,second_lowest,80065KS0010009,80065,Ambetter Balanced Care 11 (2021),34368KS0110009,34368,00000,1,6,34368KS0110009,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False
20009,lowest,80065KS0010012,80065,Ambetter Balanced Care 12 (2021),34368KS0110012,34368,00000,1,6,34368KS0110012,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False,34368KS0110012,34368,True,True,False,False
20009,second_lowest,80065KS0010009,80065,Ambetter Balanced Care 11 (2021),34368KS0110009,34368,00000,1,6,34368KS0110009,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False,34368KS0110009,34368,True,True,False,False
