year,outcome,source_file,container_member,exact_column_name,state_column,county_fips_column,geographic_level,suppressed_small_cells_exist,suppressed_like_count,number_usable_county_year_observations,total_rows,missingness_rate,matches_drake_categories
2022,total reenrollment,data\raw\oep_puf\2022\2022-oep-county-level-public-use-file.zip,2022 OEP County-Level Public Use File.csv,Tot_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,39,2410,2449,0.015924867292772562,Yes
2022,automatic reenrollment,data\raw\oep_puf\2022\2022-oep-county-level-public-use-file.zip,2022 OEP County-Level Public Use File.csv,Auto_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,61,2388,2449,0.02490812576561862,Yes
2022,active reenrollment,data\raw\oep_puf\2022\2022-oep-county-level-public-use-file.zip,2022 OEP County-Level Public Use File.csv,Actv_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,61,2388,2449,0.02490812576561862,Yes
2022,active reenrollment staying with prior/default plan,data\raw\oep_puf\2022\2022-oep-county-level-public-use-file.zip,2022 OEP County-Level Public Use File.csv,Actv_Renrl_Nsw,State_Abrvtn,County_FIPS_Cd,county,True,91,2358,2449,0.03715802368313598,Yes
2022,active reenrollment switching plans,data\raw\oep_puf\2022\2022-oep-county-level-public-use-file.zip,2022 OEP County-Level Public Use File.csv,Actv_Renrl_Sw,State_Abrvtn,County_FIPS_Cd,county,True,91,2358,2449,0.03715802368313598,Yes
2022,total plan selections,data\raw\oep_puf\2022\2022-oep-county-level-public-use-file.zip,2022 OEP County-Level Public Use File.csv,Cnsmr,State_Abrvtn,County_FIPS_Cd,county,True,4,2445,2449,0.0016333197223356473,Yes
2022,new consumers,data\raw\oep_puf\2022\2022-oep-county-level-public-use-file.zip,2022 OEP County-Level Public Use File.csv,New_Cnsmr,State_Abrvtn,County_FIPS_Cd,county,True,39,2410,2449,0.015924867292772562,Yes
2022,returning consumers,data\raw\oep_puf\2022\2022-oep-county-level-public-use-file.zip,2022 OEP County-Level Public Use File.csv,Tot_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,39,2410,2449,0.015924867292772562,Yes
2023,total reenrollment,data\raw\oep_puf\2023\2023-oep-county-level-public-use-file.zip,2023 OEP County-Level Public Use File.csv,Tot_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,36,2413,2449,0.014699877501020826,Yes
2023,automatic reenrollment,data\raw\oep_puf\2023\2023-oep-county-level-public-use-file.zip,2023 OEP County-Level Public Use File.csv,Auto_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,48,2401,2449,0.019599836668027767,Yes
2023,active reenrollment,data\raw\oep_puf\2023\2023-oep-county-level-public-use-file.zip,2023 OEP County-Level Public Use File.csv,Actv_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,48,2401,2449,0.019599836668027767,Yes
2023,active reenrollment staying with prior/default plan,data\raw\oep_puf\2023\2023-oep-county-level-public-use-file.zip,2023 OEP County-Level Public Use File.csv,Actv_Renrl_Nsw,State_Abrvtn,County_FIPS_Cd,county,True,62,2387,2449,0.02531645569620253,Yes
2023,active reenrollment switching plans,data\raw\oep_puf\2023\2023-oep-county-level-public-use-file.zip,2023 OEP County-Level Public Use File.csv,Actv_Renrl_Sw,State_Abrvtn,County_FIPS_Cd,county,True,62,2387,2449,0.02531645569620253,Yes
2023,total plan selections,data\raw\oep_puf\2023\2023-oep-county-level-public-use-file.zip,2023 OEP County-Level Public Use File.csv,Cnsmr,State_Abrvtn,County_FIPS_Cd,county,True,2,2447,2449,0.0008166598611678236,Yes
2023,new consumers,data\raw\oep_puf\2023\2023-oep-county-level-public-use-file.zip,2023 OEP County-Level Public Use File.csv,New_Cnsmr,State_Abrvtn,County_FIPS_Cd,county,True,36,2413,2449,0.014699877501020826,Yes
2023,returning consumers,data\raw\oep_puf\2023\2023-oep-county-level-public-use-file.zip,2023 OEP County-Level Public Use File.csv,Tot_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,36,2413,2449,0.014699877501020826,Yes
2024,total reenrollment,data\raw\oep_puf\2024\2024-oep-county-level-public-use-file.zip,2024 OEP County-Level Public Use File.csv,Tot_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,20,2296,2316,0.008635578583765112,Yes
2024,automatic reenrollment,data\raw\oep_puf\2024\2024-oep-county-level-public-use-file.zip,2024 OEP County-Level Public Use File.csv,Auto_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,26,2290,2316,0.011226252158894647,Yes
2024,active reenrollment,data\raw\oep_puf\2024\2024-oep-county-level-public-use-file.zip,2024 OEP County-Level Public Use File.csv,Actv_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,26,2290,2316,0.011226252158894647,Yes
2024,active reenrollment staying with prior/default plan,data\raw\oep_puf\2024\2024-oep-county-level-public-use-file.zip,2024 OEP County-Level Public Use File.csv,Actv_Renrl_Nsw,State_Abrvtn,County_FIPS_Cd,county,True,39,2277,2316,0.01683937823834197,Yes
2024,active reenrollment switching plans,data\raw\oep_puf\2024\2024-oep-county-level-public-use-file.zip,2024 OEP County-Level Public Use File.csv,Actv_Renrl_Sw,State_Abrvtn,County_FIPS_Cd,county,True,39,2277,2316,0.01683937823834197,Yes
2024,total plan selections,data\raw\oep_puf\2024\2024-oep-county-level-public-use-file.zip,2024 OEP County-Level Public Use File.csv,Cnsmr,State_Abrvtn,County_FIPS_Cd,county,True,2,2314,2316,0.0008635578583765112,Yes
2024,new consumers,data\raw\oep_puf\2024\2024-oep-county-level-public-use-file.zip,2024 OEP County-Level Public Use File.csv,New_Cnsmr,State_Abrvtn,County_FIPS_Cd,county,True,20,2296,2316,0.008635578583765112,Yes
2024,returning consumers,data\raw\oep_puf\2024\2024-oep-county-level-public-use-file.zip,2024 OEP County-Level Public Use File.csv,Tot_Renrl,State_Abrvtn,County_FIPS_Cd,county,True,20,2296,2316,0.008635578583765112,Yes
