variant_name,current_plan_lookup_rule,year,plan_pair_rows,prior_zero_count,current_positive_count,prior_zero_changed_vs_baseline,current_positive_changed_vs_baseline
cent_threshold_zero,all_metal_panel,2022.0,4894,4345,3584,0,0
cent_threshold_zero,all_metal_panel,2023.0,4898,4035,3143,0,0
cent_threshold_zero,all_metal_panel,2024.0,4578,4028,2610,0,0
cent_threshold_zero,all_metal_panel,,660,460,0,0,0
cent_threshold_zero,silver_panel,2022.0,4894,4345,3584,0,0
cent_threshold_zero,silver_panel,2023.0,4898,4035,3143,0,0
cent_threshold_zero,silver_panel,2024.0,4578,4028,2610,0,0
cent_threshold_zero,silver_panel,,660,460,0,0,0
current_ehb_all_states,all_metal_panel,2022.0,4894,4345,3584,0,0
current_ehb_all_states,all_metal_panel,2023.0,4898,4035,3143,0,0
current_ehb_all_states,all_metal_panel,2024.0,4578,4028,2610,0,0
current_ehb_all_states,all_metal_panel,,660,460,0,0,0
current_ehb_all_states,silver_panel,2022.0,4894,4345,3584,0,0
current_ehb_all_states,silver_panel,2023.0,4898,4035,3143,0,0
current_ehb_all_states,silver_panel,2024.0,4578,4028,2610,0,0
current_ehb_all_states,silver_panel,,660,460,0,0,0
ehb_missing_as_missing,all_metal_panel,2022.0,4894,4345,3584,0,0
ehb_missing_as_missing,all_metal_panel,2023.0,4898,4035,3143,0,0
ehb_missing_as_missing,all_metal_panel,2024.0,4578,4028,2610,0,0
ehb_missing_as_missing,all_metal_panel,,660,460,0,0,0
ehb_missing_as_missing,silver_panel,2022.0,4894,4345,3584,0,0
ehb_missing_as_missing,silver_panel,2023.0,4898,4035,3143,0,0
ehb_missing_as_missing,silver_panel,2024.0,4578,4028,2610,0,0
ehb_missing_as_missing,silver_panel,,660,460,0,0,0
ehb_named_states_only,all_metal_panel,2022.0,4894,4618,3303,273,281
ehb_named_states_only,all_metal_panel,2023.0,4898,4622,2974,587,169
ehb_named_states_only,all_metal_panel,2024.0,4578,4302,2360,274,250
ehb_named_states_only,all_metal_panel,,660,660,0,200,0
ehb_named_states_only,silver_panel,2022.0,4894,4618,3303,273,281
ehb_named_states_only,silver_panel,2023.0,4898,4622,2974,587,169
ehb_named_states_only,silver_panel,2024.0,4578,4302,2360,274,250
ehb_named_states_only,silver_panel,,660,660,0,200,0
ehb_only_when_ehb_percent_less_than_100,all_metal_panel,2022.0,4894,4417,3511,72,73
ehb_only_when_ehb_percent_less_than_100,all_metal_panel,2023.0,4898,4124,3095,89,48
ehb_only_when_ehb_percent_less_than_100,all_metal_panel,2024.0,4578,4052,2610,24,0
ehb_only_when_ehb_percent_less_than_100,all_metal_panel,,660,525,0,65,0
ehb_only_when_ehb_percent_less_than_100,silver_panel,2022.0,4894,4417,3511,72,73
ehb_only_when_ehb_percent_less_than_100,silver_panel,2023.0,4898,4124,3095,89,48
ehb_only_when_ehb_percent_less_than_100,silver_panel,2024.0,4578,4052,2610,24,0
ehb_only_when_ehb_percent_less_than_100,silver_panel,,660,525,0,65,0
gross_only,all_metal_panel,2022.0,4894,4894,3121,549,463
gross_only,all_metal_panel,2023.0,4898,4898,2876,863,267
gross_only,all_metal_panel,2024.0,4578,4578,2218,550,392
gross_only,all_metal_panel,,660,660,0,200,0
gross_only,silver_panel,2022.0,4894,4894,3121,549,463
gross_only,silver_panel,2023.0,4898,4898,2876,863,267
gross_only,silver_panel,2024.0,4578,4578,2218,550,392
gross_only,silver_panel,,660,660,0,200,0
one_dollar_threshold,all_metal_panel,2022.0,4894,4424,3263,79,321
one_dollar_threshold,all_metal_panel,2023.0,4898,4518,2819,483,324
one_dollar_threshold,all_metal_panel,2024.0,4578,4163,2374,135,236
one_dollar_threshold,all_metal_panel,,660,460,0,0,0
one_dollar_threshold,silver_panel,2022.0,4894,4424,3263,79,321
one_dollar_threshold,silver_panel,2023.0,4898,4518,2819,483,324
one_dollar_threshold,silver_panel,2024.0,4578,4163,2374,135,236
one_dollar_threshold,silver_panel,,660,460,0,0,0
rounded_to_dollars_zero,all_metal_panel,2022.0,4894,4365,3358,20,226
rounded_to_dollars_zero,all_metal_panel,2023.0,4898,4297,2936,262,207
rounded_to_dollars_zero,all_metal_panel,2024.0,4578,4055,2405,27,205
rounded_to_dollars_zero,all_metal_panel,,660,460,0,0,0
rounded_to_dollars_zero,silver_panel,2022.0,4894,4365,3358,20,226
rounded_to_dollars_zero,silver_panel,2023.0,4898,4297,2936,262,207
rounded_to_dollars_zero,silver_panel,2024.0,4578,4055,2405,27,205
rounded_to_dollars_zero,silver_panel,,660,460,0,0,0
strict_zero,all_metal_panel,2022.0,4894,4345,3599,0,15
strict_zero,all_metal_panel,2023.0,4898,4020,3151,15,8
strict_zero,all_metal_panel,2024.0,4578,4024,2610,4,0
strict_zero,all_metal_panel,,660,460,0,0,0
strict_zero,silver_panel,2022.0,4894,4345,3599,0,15
strict_zero,silver_panel,2023.0,4898,4020,3151,15,8
strict_zero,silver_panel,2024.0,4578,4024,2610,4,0
strict_zero,silver_panel,,660,460,0,0,0
