scope,breakdown_type,transition,state,year,entity_field,entity_id,failure_type,rows,failures,failure_rate,enrollment_in_failed_rows
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AL,2022,,,missing_previous_plan_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AL,2022,,,missing_crosswalk_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AL,2022,,,missing_current_plan_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AL,2022,,,missing_premium_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AL,2022,,,missing_county_mapping_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AR,2022,,,missing_previous_plan_flag,75,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AR,2022,,,missing_crosswalk_flag,75,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AR,2022,,,missing_current_plan_flag,75,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AR,2022,,,missing_premium_flag,75,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AR,2022,,,missing_county_mapping_flag,75,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AZ,2022,,,missing_previous_plan_flag,15,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AZ,2022,,,missing_crosswalk_flag,15,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AZ,2022,,,missing_current_plan_flag,15,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AZ,2022,,,missing_premium_flag,15,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,AZ,2022,,,missing_county_mapping_flag,15,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,DE,2022,,,missing_previous_plan_flag,3,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,DE,2022,,,missing_crosswalk_flag,3,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,DE,2022,,,missing_current_plan_flag,3,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,DE,2022,,,missing_premium_flag,3,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,DE,2022,,,missing_county_mapping_flag,3,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,FL,2022,,,missing_previous_plan_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,FL,2022,,,missing_crosswalk_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,FL,2022,,,missing_current_plan_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,FL,2022,,,missing_premium_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,FL,2022,,,missing_county_mapping_flag,67,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,GA,2022,,,missing_previous_plan_flag,159,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,GA,2022,,,missing_crosswalk_flag,159,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,GA,2022,,,missing_current_plan_flag,159,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,GA,2022,,,missing_premium_flag,159,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,GA,2022,,,missing_county_mapping_flag,159,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IA,2022,,,missing_previous_plan_flag,99,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IA,2022,,,missing_crosswalk_flag,99,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IA,2022,,,missing_current_plan_flag,99,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IA,2022,,,missing_premium_flag,99,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IA,2022,,,missing_county_mapping_flag,99,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IL,2022,,,missing_previous_plan_flag,102,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IL,2022,,,missing_crosswalk_flag,102,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IL,2022,,,missing_current_plan_flag,102,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IL,2022,,,missing_premium_flag,102,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IL,2022,,,missing_county_mapping_flag,102,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IN,2022,,,missing_previous_plan_flag,92,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IN,2022,,,missing_crosswalk_flag,92,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IN,2022,,,missing_current_plan_flag,92,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IN,2022,,,missing_premium_flag,92,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,IN,2022,,,missing_county_mapping_flag,92,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,KS,2022,,,missing_previous_plan_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,KS,2022,,,missing_crosswalk_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,KS,2022,,,missing_current_plan_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,KS,2022,,,missing_premium_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,KS,2022,,,missing_county_mapping_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,LA,2022,,,missing_previous_plan_flag,64,0,0.0,0.0
