state,year,county_years,counties,enrollment,constructibility_rate,missing_treatment_rate,missing_current_plan_rate,missing_crosswalk_rate,missing_premium_rate,outcome_missing_rate,treated_share_constructible,problem_state_for_sensitivity,diagnostic_flags
AL,2022,67,67,219314.0,1.0,0.0,0.0,0.0,0.0,0.0,0.208955223880597,False,none
AL,2023,67,67,258327.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9104477611940298,False,none
AL,2024,67,67,386195.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7910447761194029,False,none
AR,2022,75,75,88226.0,1.0,0.0,0.0,0.0,0.0,0.04,1.0,False,extreme_treatment_prevalence
AR,2023,75,75,100407.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,extreme_treatment_prevalence
AR,2024,75,75,156607.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,extreme_treatment_prevalence
AZ,2022,15,15,199706.0,1.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.6,False,none
AZ,2023,15,15,235229.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,False,none
AZ,2024,15,15,348055.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,False,none
DE,2022,3,3,32113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,extreme_treatment_prevalence
DE,2023,3,3,34742.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,extreme_treatment_prevalence
DE,2024,3,3,44842.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,extreme_treatment_prevalence
FL,2022,67,67,2723094.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9850746268656716,False,extreme_treatment_prevalence
FL,2023,67,67,3225435.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7910447761194029,False,none
FL,2024,67,67,4211902.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7761194029850746,False,none
GA,2022,159,159,701135.0,1.0,0.0,0.0,0.0,0.0,0.018867924528301886,1.0,False,extreme_treatment_prevalence
GA,2023,159,159,879084.0,1.0,0.0,0.0,0.0,0.0,0.0,0.710691823899371,False,none
GA,2024,159,159,1305114.0,0.9119496855345912,0.0880503144654088,0.0880503144654088,0.0880503144654088,0.0880503144654088,0.0,0.7586206896551724,True,constructibility_below_0.95;missing_current_plan_rate_above_0.05;missing_crosswalk_rate_above_0.05
IA,2022,99,99,72240.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9393939393939394,False,none
IA,2023,99,99,82704.0,1.0,0.0,0.0,0.0,0.0,0.0,0.98989898989899,False,extreme_treatment_prevalence
IA,2024,99,99,111423.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,False,none
IL,2022,102,102,323427.0,1.0,0.0,0.0,0.0,0.0,0.049019607843137254,0.4411764705882353,False,none
IL,2023,102,102,342995.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8431372549019608,False,none
IL,2024,102,102,398814.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6764705882352942,False,none
